Ano,Mes,Chile.numero,Chile.saldo,BCI.numero,BCI.saldo
2008,1,44,40.807158,15,36.3023
2008,2,43,40.14537,15,36.579256
2008,3,43,40.339216,15,36.598037
2008,4,43,43.432833,15,37.389881
2008,5,43,43.731983,15,38.128273
2008,6,43,44.773367,15,38.498472
2008,7,43,45.914037,15,38.880472
2008,8,43,46.955278,15,39.258841
2008,9,43,48.191552,15,43.449893
2008,10,43,53.849292,15,43.120059
2008,11,43,55.008602,15,43.668622
2008,12,43,46.158385,14,21.229704
2009,1,43,46.815273,12,18.358693
2009,2,43,47.357639,11,16.844251
2009,3,43,47.500012,12,17.259984
2009,4,43,27.945401,12,17.625654
2009,5,43,28.25207,12,17.772326
2009,6,43,28.394683,12,16.974345
2009,7,43,28.436515,11,16.972919
2009,8,43,28.578463,12,17.846826
2009,9,43,28.631591,12,17.7868
2009,10,43,29.209752,12,17.7868
2009,11,43,29.371974,12,17.7868
2009,12,43,8.644807,12,17.7868
2010,1,42,8.736668,12,17.793546
2010,2,42,8.778375,4,0.167732
2010,3,42,9.012424,3,0.166079
2010,4,42,9.062464,3,0.019531
2010,5,42,9.273947,3,0.019742
2010,6,42,9.401667,4,0.019773
2010,7,42,9.544122,4,0.019773
2010,8,42,9.706585,4,0.019773
2010,9,42,9.920051,4,0.019773
2010,10,42,10.14117,4,0.019773
2010,11,42,10.238954,4,0.019773
2010,12,42,4.886767,4,0.019773
