"Mes","Dia","Valor"
"Junio",1,824.35
"Junio",2,825.28
"Junio",3,815.56
"Junio",6,813.38
"Junio",7,817.99
"Junio",8,828.99
"Junio",9,821.66
"Junio",10,827.19
"Junio",13,838.61
"Junio",14,863.33
"Junio",15,866.79
"Junio",16,863.95
"Junio",17,869.62
"Junio",20,875.65
"Junio",22,880.82
"Junio",23,886.64
"Junio",24,898.8
"Junio",28,911.49
"Junio",29,905.32
"Junio",30,919.97
"Julio",1,932.08
"Julio",4,934.54
"Julio",5,927.53
"Julio",6,948.51
"Julio",7,972.66
"Julio",8,959.7
"Julio",11,966.74
"Julio",12,989.95
"Julio",18,988.22
"Julio",19,940.9
"Julio",20,929.83
"Julio",21,919.93
"Julio",22,927.49
"Julio",25,932.83
"Julio",26,941.03
"Julio",27,922.04
"Julio",28,920.49
"Julio",29,911.42
