"Ano","Mes","Mineria","Industria","IPC"
0,1,92,101.9,100.75
0,2,82.2,93.2,100.79
0,3,94.7,104.3,101.27
0,4,88.7,101.5,101.54
0,5,92.8,103.1,102.15
0,6,92.1,95.9,102.2
0,7,96.4,97.9,102.43
0,8,102.7,96.3,102.62
0,9,100.8,87.8,102.63
0,10,99.8,96.2,103.47
0,11,101,100.1,103.55
0,12,112.6,104.9,103.66
1,1,94,100.8,104.24
1,2,91.2,94.6,104.71
1,3,97,102.5,105.06
1,4,90.8,91,105.01
1,5,96.5,86.9,104.96
1,6,96.2,86.3,104.89
1,7,100.9,89.3,104.99
1,8,101.9,91.5,105.13
1,9,101.2,92.8,105.8
1,10,103.9,101,106.52
1,11,103.3,101,106.38
1,12,105.6,106.4,106.74
2,1,92.5,97.2,107.49
2,2,85.9,95.8,107.69
2,3,98.8,110,108.09
2,4,96.2,104.5,108.5
2,5,99,102.6,108.79
2,6,97.4,103.1,108.88
2,7,98.5,102.2,109.76
2,8,99.4,103.9,110.15
2,9,93.5,100.2,111.45
2,10,103.5,102.7,112.94
2,11,102.7,106.4,113.51
2,12,107.5,110.9,114.39
3,1,87.5,100.1,115.77
3,2,81.4,94.3,116.1
3,3,97.4,113.6,118.26
3,4,87.3,103.9,119.91
3,5,98.2,105.1,121.35
3,6,93.8,100.1,122.48
