"Locacion","Mes","Ano","ICC"
"FRA",1,2017,100.2096
"FRA",2,2017,100.1315
"FRA",3,2017,100.1785
"FRA",4,2017,100.4184
"FRA",5,2017,100.8222
"FRA",6,2017,101.2216
"FRA",7,2017,101.1619
"FRA",8,2017,100.8599
"FRA",9,2017,100.6135
"FRA",10,2017,100.6784
"FRA",11,2017,101.0045
"FRA",12,2017,101.1718
"FRA",1,2018,101.0265
"FRA",2,2018,100.6838
"FRA",3,2018,100.4185
"FRA",4,2018,100.1577
"FRA",5,2018,99.91643
"FRA",6,2018,99.69032
"FRA",7,2018,99.52659
"FRA",8,2018,99.26
"FRA",9,2018,98.91972
"FRA",10,2018,98.72697
"FRA",11,2018,98.4582
"FRA",12,2018,98.32918
"FRA",1,2019,98.70628
"FRA",2,2019,99.15945
"FRA",3,2019,99.50099
"FRA",4,2019,99.72899
"FRA",5,2019,99.99719
"FRA",6,2019,100.2171
"FRA",7,2019,100.4129
"FRA",8,2019,100.5015
"FRA",9,2019,100.5778
"FRA",10,2019,100.5721
"FRA",11,2019,100.45
"FRA",12,2019,100.1356
"FRA",1,2020,99.87869
"FRA",2,2020,99.41753
"FRA",3,2020,98.48895
"FRA",4,2020,97.60699
"FRA",5,2020,97.71711
"FRA",6,2020,98.38781
"FRA",7,2020,98.88987
"FRA",8,2020,99.05496
"FRA",9,2020,98.9435
"FRA",10,2020,98.56629
"FRA",11,2020,98.27914
"FRA",12,2020,98.45207
"FRA",1,2021,98.53881
"FRA",2,2021,98.77287
"FRA",3,2021,99.37284
"FRA",4,2021,100.0818
"FRA",5,2021,100.95
"FRA",6,2021,101.5942
"FRA",7,2021,101.5773
"FRA",8,2021,101.2919
"FRA",9,2021,101.1305
"FRA",10,2021,100.8132
"FRA",11,2021,100.4838
"FRA",12,2021,100.0927
"FRA",1,2022,99.61243
"FRA",2,2022,98.83447
"FRA",3,2022,97.65123
"FRA",4,2022,97.03223
"FRA",5,2022,96.75227
"FRA",6,2022,96.49194
"FRA",7,2022,96.25912
"POL",1,2017,101.53
"POL",2,2017,101.4942
"POL",3,2017,101.4868
"POL",4,2017,101.5545
"POL",5,2017,101.6316
"POL",6,2017,101.6384
"POL",7,2017,101.6718
"POL",8,2017,101.8342
"POL",9,2017,102.0757
"POL",10,2017,102.1556
"POL",11,2017,102.1433
"POL",12,2017,102.19
"POL",1,2018,102.2723
"POL",2,2018,102.2871
"POL",3,2018,102.3227
"POL",4,2018,102.5208
"POL",5,2018,102.6529
"POL",6,2018,102.7059
"POL",7,2018,102.6061
"POL",8,2018,102.4127
"POL",9,2018,102.3358
"POL",10,2018,102.2699
"POL",11,2018,102.2215
"POL",12,2018,102.2095
"POL",1,2019,102.3552
"POL",2,2019,102.5851
"POL",3,2019,102.65
"POL",4,2019,102.5758
"POL",5,2019,102.6391
"POL",6,2019,102.8443
"POL",7,2019,102.8803
"POL",8,2019,102.7612
"POL",9,2019,102.604
"POL",10,2019,102.3568
"POL",11,2019,102.244
"POL",12,2019,102.1681
"POL",1,2020,101.9677
"POL",2,2020,101.3275
"POL",3,2020,100.0616
"POL",4,2020,98.21763
"POL",5,2020,97.69333
"POL",6,2020,98.26607
"POL",7,2020,98.96269
"POL",8,2020,99.11546
"POL",9,2020,98.86125
"POL",10,2020,98.53519
"POL",11,2020,98.30639
"POL",12,2020,98.44208
"POL",1,2021,98.77364
"POL",2,2021,99.24125
"POL",3,2021,99.62417
"POL",4,2021,100.001
"POL",5,2021,100.5108
"POL",6,2021,100.7707
"POL",7,2021,100.8085
"POL",8,2021,100.7623
"POL",9,2021,100.636
"POL",10,2021,100.3251
"POL",11,2021,99.90776
"POL",12,2021,99.54355
"POL",1,2022,99.27221
"POL",2,2022,99.17165
"POL",3,2022,99.03146
"POL",4,2022,98.8245
"POL",5,2022,98.68221
"POL",6,2022,98.6686
"POL",7,2022,98.57201
"OECD",1,2017,100.5139
"OECD",2,2017,100.5417
"OECD",3,2017,100.6501
"OECD",4,2017,100.7678
"OECD",5,2017,100.8464
"OECD",6,2017,100.8733
"OECD",7,2017,100.9017
"OECD",8,2017,100.9596
"OECD",9,2017,101.0288
"OECD",10,2017,101.117
"OECD",11,2017,101.1446
"OECD",12,2017,101.139
"OECD",1,2018,101.1432
"OECD",2,2018,101.1656
"OECD",3,2018,101.1818
"OECD",4,2018,101.1702
"OECD",5,2018,101.1626
"OECD",6,2018,101.1732
"OECD",7,2018,101.1816
"OECD",8,2018,101.1165
"OECD",9,2018,101.0291
"OECD",10,2018,100.9248
"OECD",11,2018,100.8118
"OECD",12,2018,100.7301
"OECD",1,2019,100.7036
"OECD",2,2019,100.7818
"OECD",3,2019,100.8799
"OECD",4,2019,100.9045
"OECD",5,2019,100.8768
"OECD",6,2019,100.7783
"OECD",7,2019,100.6326
"OECD",8,2019,100.4585
"OECD",9,2019,100.4229
"OECD",10,2019,100.4901
"OECD",11,2019,100.6354
"OECD",12,2019,100.7463
"OECD",1,2020,100.683
"OECD",2,2020,100.1829
"OECD",3,2020,99.09396
"OECD",4,2020,97.92384
"OECD",5,2020,97.56017
"OECD",6,2020,97.77358
"OECD",7,2020,98.05158
"OECD",8,2020,98.302
"OECD",9,2020,98.51566
"OECD",10,2020,98.58869
"OECD",11,2020,98.59422
"OECD",12,2020,98.7184
"OECD",1,2021,98.87643
"OECD",2,2021,99.18067
"OECD",3,2021,99.63049
"OECD",4,2021,99.98542
"OECD",5,2021,100.248
"OECD",6,2021,100.4033
"OECD",7,2021,100.2802
"OECD",8,2021,100.0053
"OECD",9,2021,99.81213
"OECD",10,2021,99.60342
"OECD",11,2021,99.35802
"OECD",12,2021,99.11656
"OECD",1,2022,98.78751
"OECD",2,2022,98.32633
"OECD",3,2022,97.7879
"OECD",4,2022,97.40521
