"Ano","Latitud","Longitud","Profundidad","Magnitud"
2014,-20.003,-70.8741,17,6.2
2014,-19.9246,-70.6278,20,6.7
2014,-5.566,-80.879,9.8,6.3
2014,-14.0935,-76.2968,20,6.1
2014,33.6793,131.8197,79,6.3
2014,-3.1128,148.4774,10,6.1
2014,-60.8391,-19.9569,10,6.4
2014,40.8287,-125.1338,16.6,6.8
2014,-14.7347,169.8222,636.76,6.3
2014,27.4052,127.3354,111.18,6.5
2014,12.5555,-87.6902,60,6.2
2014,53.6792,-171.8369,264.66,6.1
2014,14.6511,-58.9478,16.86,6.5
2014,35.906,82.5865,10,6.9
2014,-5.9651,154.435,41.8,6
2014,-15.0691,167.3721,122,6.5
2014,38.2637,20.3897,5,6
2014,-32.9076,-177.8806,44.26,6.5
2014,-56.8269,-27.3253,131.14,6.1
2014,38.2039,20.4504,8,6.1
2014,-7.9855,109.2653,66,6.1
2014,-15.1477,-174.6841,6.59,6.1
2014,-40.6595,175.8144,28,6.1
2014,19.0428,-66.8096,20,6.4
2014,-13.8633,167.249,187,6.5
2013,20.7727,146.7903,9,6.2
2013,44.4438,149.1667,28,6
2013,2.044,96.8261,20,6
2013,-7.0269,128.3791,9.87,6.4
2013,-53.8708,-53.9107,14.83,6
2013,-53.9451,-55.0033,11.78,7
2013,45.5613,151.0047,34,6
2013,-17.1171,-176.5449,371,6.5
2013,18.4753,145.2041,511,6
2013,2.6403,128.4339,38,6
2013,-60.2738,-46.4011,10,7.7
2013,-60.2627,-47.0621,9.97,6.9
2013,-60.2814,-47.1233,11.07,6.1
2013,54.6859,162.3024,43,6.4
2013,-19.1711,-172.6411,10.05,6.2
2013,-23.6357,-112.5956,9.98,6
2013,-30.2921,-71.5215,27,6.6
2013,23.5904,121.4366,10,6.3
2013,-35.314,-73.395,41.5,6.2
2013,37.1557,144.6611,35,7.1
2013,-58.153,-12.7964,22.87,6.7
2013,-23.0067,-177.1425,160,6
2013,26.0913,-110.3209,9.45,6.6
2013,-6.4456,154.931,35,6.8
2013,9.8796,124.1167,19.04,7.1
2013,35.5142,23.2523,40,6.6
2013,10.9048,-62.315,63,6
2013,-30.6623,-178.4838,151,6.2
2013,-36.7267,-97.4761,10.28,6.2
2013,12.3115,141.6905,104,6
2013,-38.6062,78.3693,12.72,6.4
2013,53.1995,152.7864,573,6.7
2013,-30.9255,-178.3234,41.54,6.5
2013,27.1825,65.5052,12,6.8
2013,-15.8385,-74.5112,40,7.1
2013,-49.9585,-113.7439,10,6.1
2013,26.951,65.5009,15,7.7
2013,-7.3308,120.0106,549.92,6.1
2013,51.5751,-174.716,24.02,6.1
2013,-4.5472,-104.5783,10.52,6.1
2013,14.6056,-92.1207,66,6.4
2013,15.1836,-45.232,10,6
2013,51.573,-174.8537,17,6
2013,51.5573,-174.7671,20,6.5
2013,51.1832,-130.2245,9.92,6
2013,29.9377,138.8325,402,6.5
2013,51.244,-130.3971,2.73,6.1
2013,-7.44,128.2209,112,6.5
2013,51.2381,-174.9407,18,6
2013,51.537,-175.2297,29,7
2013,-27.7829,179.6335,478,6.2
2013,16.8784,-99.498,21,6.2
2013,-34.8853,54.0927,10,6.1
2013,-41.734,174.152,8.2,6.5
2013,5.7732,-78.1999,12,6.7
2013,-5.3962,-81.9268,10,6.2
2013,-30.6285,-179.678,340.6,6.1
2013,-7.1354,129.8088,95,6
2013,-15.2443,-173.5006,31.65,6
2013,-57.9145,-23.841,13,6.2
2013,-15.3792,167.6889,124,6.1
2013,-46.0417,34.8255,10,6.1
2013,-41.7134,174.4431,14,6.5
2013,-15.6346,-71.7729,6.59,6
2013,-6.3085,154.7822,44.25,6
2013,-60.8679,-25.1436,30.98,7.3
2013,-6.0155,149.7215,62.03,6.6
2013,-3.9234,153.9204,386.25,7.3
2013,-3.249,100.5668,19.7,6
2013,-7.039,155.6438,72,6.1
2013,4.698,96.687,10,6.1
2013,10.701,-42.594,10,6.6
2013,34.27,25.114,26,6
2013,11.7246,-86.9754,35.81,6.5
2013,34.4488,25.0435,10,6.2
2013,-33.853,179.402,195,6
2013,-9.998,107.243,8.6,6.7
2013,-11.401,166.299,39,6.1
2013,23.794,121.133,17,6.2
2013,52.222,151.515,623,6.7
2013,54.874,153.281,608.9,8.3
2013,-20.561,-175.765,149.1,6.3
2013,-23.025,-177.109,171.4,7.4
2013,52.307,159.986,36.7,6.1
2013,52.469,160.486,15.1,6
2013,-44.866,-80.746,10,6.4
2013,37.739,141.471,39,6
2013,18.728,145.287,602.3,6.8
2013,-17.954,-175.099,212.2,6.4
2013,26.56,57.77,15,6.1
2013,-19.638,175.064,70.1,6
2013,-28.7357,-178.9155,349.02,6.2
2013,-28.681,-178.916,351,6.1
2013,-3.913,152.12,23.3,6.5
2013,18.127,-101.908,30,6
2013,29.933,138.887,421.9,6.1
2013,50.105,157.165,18,6.1
2013,30.308,102.888,14,6.6
2013,49.958,157.663,20,6.1
2013,46.224,150.783,112.2,7.2
2013,-3.218,142.543,13,6.6
2013,28.107,62.053,82,7.7
2013,-6.475,154.607,31,6.6
2013,-19.141,169.535,280.2,6
2013,28.5,51.591,10,6.4
2013,-3.513,138.477,66,7
2013,42.713,131.105,561.9,6.3
2013,39.516,143.2076,20.89,6
2013,14.596,-90.439,189,6.2
2013,-20.757,173.37,10,6.1
2013,-6.653,148.155,28.9,6.5
2013,50.949,157.448,29,6.5
2013,50.938,157.511,40.9,6.4
2013,50.942,157.339,41,6.9
2013,-27.993,-63.195,585.8,6.1
2013,5.812,125.748,105,6.1
2013,67.582,142.564,9.9,6.6
2013,-10.959,165.459,11,6
2013,-10.952,165.838,15.6,6.6
2013,1.142,-77.4,145,6.9
2013,-10.932,166.021,21,7.1
2013,-10.905,165.886,15.9,6.8
2013,-11.001,165.658,10,6.7
2013,-11.658,164.94,8,6
2013,-11.245,165.727,14,6
2013,-10.643,164.764,10,6
2013,-10.784,164.512,10.1,6.1
2013,-10.479,165.772,9.8,7
2013,-11.2541,164.9323,10.14,7.1
2013,-10.738,165.138,28.7,8
2013,-10.865,165.248,12.6,6
2013,-10.938,165.255,3.2,6
2013,42.758,143.106,107,6.9
2013,-11.12,165.378,10,6.4
