"Sexo","Ingreso","Logro","LEN","NEM"
"Hombre","Otras",0.421052631578947,497,545
"Mujer","Otras",0.394736842105263,448,681
"Mujer","Otras",0.631578947368421,615,557
"Hombre","PTU",0.657894736842105,653,764
"Mujer","Otras",0.5,540,764
"Hombre","PTU",0.684210526315789,569,615
"Mujer","PTU",0.526315789473684,488,513
"Hombre","PTU",0.421052631578947,443,633
"Hombre","PTU",0.473684210526316,443,545
"Hombre","PTU",0.315789473684211,521,632
"Hombre","PTU",0.263157894736842,463,347
"Hombre","PTU",0.184210526315789,443,470
"Mujer","Otras",0.289473684210526,366,595
"Mujer","PTU",0.447368421052632,438,557
"Mujer","PTU",0.447368421052632,510,535
"Hombre","PTU",0.236842105263158,423,459
"Mujer","PTU",0.263157894736842,428,753
"Mujer","PTU",0.552631578947368,478,567
"Mujer","Otras",0.236842105263158,478,621
"Hombre","PTU",0.473684210526316,395,681
"Hombre","Otras",0.263157894736842,340,731
"Hombre","PTU",0.447368421052632,579,594
"Hombre","PTU",0.710526315789474,647,648
"Hombre","Otras",0.421052631578947,448,415
"Mujer","PTU",0.5,525,709
"Mujer","PTU",0.605263157894737,562,610
"Hombre","PTU",0.184210526315789,438,654
"Mujer","PTU",0.289473684210526,407,406
"Hombre","PTU",0.473684210526316,407,523
"Mujer","PTU",0.552631578947368,600,698
"Hombre","PTU",0.447368421052632,417,588
"Mujer","PTU",0.552631578947368,600,549
"Hombre","PTU",0.157894736842105,412,556
"Hombre","PTU",0.447368421052632,445,709
"Hombre","PTU",0.447368421052632,628,454
"Mujer","Otras",0.236842105263158,428,568
"Hombre","PTU",0.184210526315789,483,534
"Mujer","PTU",0.447368421052632,521,615
"Mujer","Otras",0.447368421052632,584,736
"Hombre","Otras",0.421052631578947,458,534
"Mujer","PTU",0.342105263157895,476,638
"Hombre","PTU",0.526315789473684,526,582
"Hombre","PTU",0.315789473684211,476,538
"Hombre","PTU",0.368421052631579,535,528
"Hombre","PTU",0.315789473684211,453,423
"Hombre","Otras",0.526315789473684,511,615
"Hombre","PTU",0.578947368421053,698,525
"Hombre","PTU",0.631578947368421,463,610
"Mujer","Otras",0.578947368421053,579,644
"Mujer","Otras",0.157894736842105,311,590
"Hombre","PTU",0.526315789473684,569,681
"Hombre","PTU",0.236842105263158,395,670
"Mujer","PTU",0.315789473684211,483,517
"Mujer","PTU",0.342105263157895,468,779
"Hombre","PTU",0.526315789473684,540,687
"Hombre","Otras",0.473684210526316,554,594
"Hombre","PTU",0.263157894736842,458,411
"Hombre","PTU",0.736842105263158,666,556
"Hombre","PTU",0.552631578947368,473,556
"Hombre","Otras",0.315789473684211,359,720
"Mujer","PTU",0.5,559,442
"Hombre","PTU",0.447368421052632,653,632
"Hombre","PTU",0.447368421052632,584,643
"Hombre","PTU",0.236842105263158,653,588
"Hombre","Otras",0.394736842105263,412,626
"Hombre","PTU",0.447368421052632,468,579
"Hombre","PTU",0.210526315789474,448,627
"Hombre","PTU",0.342105263157895,584,654
"Mujer","PTU",0.710526315789474,559,757
"Hombre","PTU",0.368421052631579,554,538
"Hombre","PTU",0.157894736842105,510,408
"Hombre","Otras",0.315789473684211,443,611
"Hombre","PTU",0.368421052631579,540,567
"Hombre","PTU",0.421052631578947,478,501
"Hombre","PTU",0.421052631578947,378,654
"Hombre","PTU",0.394736842105263,478,677
"Mujer","PTU",0.421052631578947,483,632
"Hombre","PTU",0.263157894736842,579,648
"Hombre","Otras",0.473684210526316,463,604
"Mujer","PTU",0.578947368421053,502,643
"Mujer","PTU",0.5,521,621
"Mujer","PTU",0.657894736842105,734,753
