"Reg","Region","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
1,"Región de Arica y Parinacota ",1302.85,1328.39,1362.83,1396.93,1437.83,1458.48,1456.85,1374.51,1561.28
2,"Región de Tarapacá",3943.47,4065.96,4048.44,3961.81,4081.61,4346.24,4543.77,4449.85,4811.17
3,"Región de Antofagasta",15238.75,15965.84,16002.93,15333.99,14914.89,15984.49,16026.4,15977.2,16202.73
4,"Región de Atacama",3743.65,3753.41,3674.51,3824.24,3790.9,3697.72,3538.97,3456.42,3913.44
5,"Región de Coquimbo",5504.03,5379.06,5346.97,5452.54,5552.16,5780.04,5892.4,5675.06,6159.73
6,"Región de Valparaíso",13572.06,13220.14,13157.9,13540.07,13767.62,13789.08,13757.28,12958.18,14294.63
7,"Región Metropolitana de Santiago",71021.42,72231.05,74039.09,75569.33,76251.21,78930.74,79828.73,73049.55,82857.68
8,"Región del Libertador General Bernardo OHiggins",6823.17,7012.54,7438.54,7591.71,7504.65,7895.92,7847.99,7564.71,8335.61
9,"Región del Maule",5904.18,5903.31,6377.14,6490.13,6535.01,7048.74,6994.79,6858.12,7504.43
10,"Región de Ñuble",1981.16,1989.79,2087.85,2194.8,2194.62,2332.58,2354.15,2277.46,2590.23
11,"Región del Biobío",9999.68,10372.56,10662.47,10888.22,11159.51,11719.77,11900.89,11228,12488.67
12,"Región de La Araucanía",4300.05,4359.16,4559.42,4829.75,4942.12,5162.31,5246.9,5014.62,5680.18
13,"Región de Los Ríos",2126.47,2215.51,2296.01,2379.34,2406.2,2511.65,2523.47,2422.92,2670.84
14,"Región de Los Lagos",4870.2,5203.99,5286.77,5353.31,5878.42,6268.54,6351.33,6111.28,6547.8
15,"Región de Aysén del General Carlos Ibáñez del Campo",1046.19,1087.19,1050.44,1067.75,1167.22,1214.64,1211.37,1104.04,1191
16,"Región de Magallanes y de la Antártica Chilena",1585.95,1654.26,1699.72,1801.72,1817.43,1855.3,1997.15,1786.43,1885.21
