"Periodo","Corriente","Encadenado","EncadenadoDes"
1996,32393.86,81635.5,81591.46
1997,35946.99,87669.78,87737.4
1998,37741.62,91335.16,91406
1999,38461.79,91085.23,90988.14
2000,42215.03,95613.65,95863.16
2001,45409.05,98629.34,98932.71
2002,48428.96,101788.23,101885.47
2003,52897.34,106595.94,106560.96
2004,60391.76,113710.43,113409.34
2005,68467.94,120347.76,120201.95
2006,81577.53,127628.78,127831.53
2007,90159.48,134224.94,134577.42
2008,93867.12,139311.25,139136.02
2009,96138.48,137753.69,137734.22
2010,110777.87,145814.56,145779.73
2011,121509.3,154889.91,154710.03
2012,129973.39,164423.91,164659.33
2013,137309.19,169863.89,169933.53
2014,147951.29,172908.95,172850.06
2015,158622.9,176629.85,176568.78
2016,168764.69,179726.24,179486.41
2017,179314.91,182166.38,182293.39
2018,189434.87,189434.87,189625.28
2019,195752.23,190842.61,190875.14
2020,201428.89,179114.87,178657.33
2021,240371.47,200138.35,199953.82
2022,262593.36,205022.53,204937.44
