"Periodo","X1.Arabia.Saudita..Rial.saudita","X2.Argentina..Peso.argentino","X3.Australia..Dólar.australiano","X4.Bahamas..Dólar.de.las.Bahamas","X5.Bermudas..Dólar.de.bermudas","X6.Bolivia..Boliviano","X7.Brasil..Real","X8.Canadá..Dólar.canadiense","X9.Catar..Riyal.catarí","X10.Chile..Peso.chileno..observado.","X11.China..Yuan.Renminbi","X12.Colombia..Peso.colombiano","X13.Corea..Won","X14.Costa.Rica..Colón","X15.Cuba..Peso.cubano","X16.DEG..FMI.","X17.Dinamarca..Corona.Danesa","X18.Egipto..Libra.egipcia","X19.Emiratos.Árabes.Unidos..Dírham","X20.Filipinas..Peso.filipino","X21.Fiyi..Dólar.de.Fiji","X22.Franco.de.la.Polinesia.Francesa","X23.Guatemala..Quetzal.guatemalteco","X24.Hong.Kong..RAE.de.China..Dólar.hongkonés","X25.Hungría..Forint","X26.India..Rupia.India","X27.Indonesia..Rupia.de.Indonesia","X28.Irán..Rial.iraní","X29.Islandia..Corona.de.islandia","X30.Islas.Caimán..Dólar.de.Islas.Caimán","X31.Israel..Shekel.israelí","X32.Japón..Yen","X33.Kazajistán..Tenge","X34.Malasia..Ringgit","X35.Marruecos..Dírham","X36.México..Peso.mexicano","X37.Noruega..Corona.noruega","X38.Nueva.Zelanda..Dólar.neozelandés","X39.Pakistán..Rupia.Paquistaní","X40.Panamá..Balboa","X41.Paraguay..Guaraní","X42.Perú..Nuevo.sol.peruano","X43.Polonia..Zloty","X44.Reino.Unido..Libra.esterlina","X45.República.Checa..Corona.Checa","X46.República.Dominicana..Peso.de.República.Dominicana","X47.Rumania..Leu.rumano","X48.Rusia..Rublo.ruso","X49.Singapur..Dólar.de.Singapur","X50.Sudáfrica..Rand","X51.Suecia..Corona.sueca","X52.Suiza..Franco.suizo","X53.Tailandia..Baht.tailandés","X54.Taiwan..Provincia.de.China..Dólar.taiwanés","X55.Turquía..Nueva.lira.turca","X56.Ucrania..Hryvnia","X57.Unión.Europea..Euro","X58.Uruguay..Peso.uruguayo","X59.Venezuela..Bolívar","X60.Vietnam..Dong"
"03.ene.2022",3.75,102.76,1.38,1,1,6.86,5.57,1.28,3.67,844.69,6.38,4002.52,1188.79,640.05,24,0.71,6.57,15.7,3.67,50.98,2.12,105.06,7.71,7.8,325.74,74.42,14265,42000,130.37,0.82,3.11,115.18,433.89,4.18,9.24,20.54,8.81,1.46,177.5,1,6866.4,3.99,4.06,0.74,21.96,57.05,4.37,74.79,1.35,15.94,9.06,0.91,33.32,27.67,13.28,27.26,0.88,44.44,4.58,22778
"04.ene.2022",3.75,103.01,1.39,1,1,6.86,5.65,1.28,3.66,851.43,6.37,4077.44,1191.67,640.42,24,0.71,6.59,15.7,3.67,51,2.12,104.76,7.71,7.8,325.03,74.26,14263,42000,130.76,0.82,3.11,115.31,434.61,4.17,9.26,20.56,8.89,1.47,176.45,1,6882.9,3.99,4.05,0.74,21.99,57.05,4.38,74.56,1.35,15.83,9.13,0.92,33.32,27.62,13.06,27,0.89,44.5,4.59,22715
"05.ene.2022",3.75,103.08,1.38,1,1,6.86,5.68,1.27,3.67,852.03,6.37,4080,1193.93,640.25,24,0.72,6.59,15.66,3.67,51.29,2.13,105.31,7.69,7.79,320.86,74.55,14307,42000,130.49,0.82,3.09,116.19,434.61,4.19,9.27,20.53,8.85,1.47,176.6,1,6906.9,3.95,4.04,0.74,21.85,57.12,4.38,75.29,1.36,16.01,9.09,0.92,33.25,27.58,13.54,27.37,0.89,44.57,4.58,22748
"06.ene.2022",3.75,103.14,1.38,1,1,6.86,5.67,1.27,3.67,841.63,6.37,4027,1196.68,642.26,24,0.71,6.56,15.67,3.67,50.95,2.12,105.31,7.71,7.8,318.52,74.36,14365,42000,129.37,0.82,3.09,115.99,435.07,4.19,9.25,20.39,8.79,1.46,176.65,1,6934.2,3.95,4.03,0.74,21.68,57.09,4.36,75.96,1.35,15.77,9.06,0.92,33.13,27.6,13.55,27.45,0.88,44.55,4.59,22741
"07.ene.2022",3.75,103.22,1.39,1,1,6.86,5.7,1.27,3.67,838.88,6.39,4023.94,1200.71,640.03,24,0.72,6.58,15.67,3.67,51.16,2.13,105.11,7.69,7.8,318.26,74.5,14384,42000,129.37,0.82,3.11,115.76,435.07,4.21,9.26,20.43,8.88,1.48,176.2,1,6955,3.96,4.03,0.74,21.67,57.25,4.37,76.41,1.36,15.72,9.13,0.92,33.55,27.64,13.77,27.47,0.88,44.51,4.59,22736
"08.ene.2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09.ene.2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.ene.2022",3.75,103.28,1.39,1,1,6.86,5.63,1.27,3.67,831.59,6.38,4049.5,1201.29,638.84,24,0.72,6.55,15.67,3.67,51.33,2.14,105.19,7.71,7.8,315.65,74.31,14347,42000,128.64,0.82,3.1,115.63,435.07,4.21,9.23,20.4,8.85,1.48,176.49,1,6939.7,3.94,4,0.74,21.52,57.36,4.35,75.36,1.36,15.57,9.07,0.92,33.58,27.68,13.81,27.47,0.88,44.42,4.61,22690
"11.ene.2022",3.75,103.49,1.4,1,1,6.86,5.68,1.27,3.66,831.39,6.38,4049.89,1199,638.46,24,0.71,6.56,15.66,3.67,51.3,2.13,105.08,7.71,7.8,316.02,74.03,14295,42000,129.07,0.82,3.14,115.08,435.07,4.2,9.25,20.41,8.88,1.48,176.6,1,6930,3.93,4.01,0.74,21.49,57.47,4.36,75.17,1.36,15.72,9.1,0.93,33.64,27.65,13.82,27.48,0.88,44.49,4.61,22676
"12.ene.2022",3.75,103.56,1.39,1,1,6.86,5.6,1.26,3.66,832.6,6.38,3997.01,1194.65,635.69,24,0.71,6.55,15.67,3.67,51.14,2.13,105.02,7.68,7.8,314.34,73.91,14302,42000,129.3,0.82,3.11,115.45,434.48,4.19,9.24,20.38,8.78,1.48,176.55,1,6937.4,3.9,4,0.73,21.51,57.48,4.35,74.53,1.35,15.55,9.05,0.92,33.32,27.68,13.81,27.62,0.88,44.55,4.62,22692
"13.ene.2022",3.75,103.63,1.37,1,1,6.86,5.55,1.25,3.67,826.51,6.36,3970.24,1190.29,634.93,24,0.71,6.5,15.69,3.67,51.19,2.13,104.99,7.7,7.79,310.24,73.91,14319,42000,128.42,0.82,3.11,114.55,434.28,4.18,9.21,20.34,8.68,1.46,176.03,1,6944.8,3.88,3.95,0.73,21.25,57.4,4.32,74.81,1.35,15.32,8.95,0.91,33.28,27.67,13.24,27.75,0.87,44.5,4.63,22686
