"Periodo","UF","IVP"
"01.ene.2022",30996.73,31760.4
"02.ene.2022",31001.72,31767.78
"03.ene.2022",31006.71,31775.15
"04.ene.2022",31011.69,31782.52
"05.ene.2022",31016.68,31789.9
"06.ene.2022",31021.67,31797.28
"07.ene.2022",31026.67,31804.66
"08.ene.2022",31031.66,31812.04
"09.ene.2022",31036.65,31819.43
"10.ene.2022",31044.63,31827.97
"11.ene.2022",31052.61,31836.51
"12.ene.2022",31060.59,31845.05
"13.ene.2022",31068.58,31853.6
"14.ene.2022",31076.56,31862.14
"15.ene.2022",31084.55,31870.69
"16.ene.2022",31092.54,31879.25
"17.ene.2022",31100.54,31887.8
"18.ene.2022",31108.53,31896.36
"19.ene.2022",31116.53,31904.92
"20.ene.2022",31124.53,31913.48
"21.ene.2022",31132.53,31922.04
"22.ene.2022",31140.53,31930.61
"23.ene.2022",31148.54,31939.18
"24.ene.2022",31156.54,31947.75
"25.ene.2022",31164.55,31956.32
"26.ene.2022",31172.57,31964.89
"27.ene.2022",31180.58,31973.47
"28.ene.2022",31188.59,31982.05
"29.ene.2022",31196.61,31990.63
"30.ene.2022",31204.63,31999.22
"31.ene.2022",31212.65,32007.8
"01.feb.2022",31220.68,32016.39
"02.feb.2022",31228.7,32024.98
"03.feb.2022",31236.73,32033.58
"04.feb.2022",31244.76,32042.17
"05.feb.2022",31252.79,32050.77
"06.feb.2022",31260.83,32059.37
"07.feb.2022",31268.86,32067.97
"08.feb.2022",31276.9,32076.58
"09.feb.2022",31284.94,32085.19
"10.feb.2022",31298.27,32094.49
"11.feb.2022",31311.61,32103.79
"12.feb.2022",31324.95,32113.09
"13.feb.2022",31338.3,32122.4
"14.feb.2022",31351.65,32131.7
"15.feb.2022",31365.01,32141.01
"16.feb.2022",31378.38,32150.33
"17.feb.2022",31391.75,32159.64
"18.feb.2022",31405.12,32168.96
"19.feb.2022",31418.5,32178.28
"20.feb.2022",31431.89,32187.61
"21.feb.2022",31445.29,32196.93
"22.feb.2022",31458.68,32206.26
"23.feb.2022",31472.09,32215.6
"24.feb.2022",31485.5,32224.93
"25.feb.2022",31498.92,32234.27
"26.feb.2022",31512.34,32243.61
"27.feb.2022",31525.77,32252.95
