mortalidad	temp	educ	vivienda	raza	cont
9.2	27	11.4	81.5	8.8	59
10	23	11	78.79	3.5	39
9.6	29	9.8	81.59	0.8	33
9.8	45	11.1	77.5	27.1	24
10.7	35	9.56	84.59	24.39	206
10.3	45	10.2	66.79	38.5	72
9.3	30	12.1	83.9	3.5	62
9	30	10.6	86	5.29	4
10	24	10.5	83.2	8.09	37
9.1	27	10.7	79.29	6.7	20
10.2	42	9.6	69.2	22.19	27
10.2	26	10.9	83.4	16.3	278
9.7	34	10.2	77	13	146
9.9	28	11.1	86.29	14.69	64
9.6	31	11.9	78.4	13.1	15
8.6	46	11.8	79.9	14.8	1
9.4	30	11.4	81.9	12.4	16
8.7	30	12.2	84.2	4.7	28
9.6	27	10.8	87	15.8	124
9.4	24	10.8	79.5	13.1	11
8.9	45	11.4	80.7	11.5	1
8.7	24	10.9	82.79	5.09	10
9.7	40	10.4	71.79	22.69	5
8.9	27	11.5	87.09	7.2	10
9.5	55	11.4	79.7	21	1
9.7	29	11.4	78.59	15.6	33
9.2	31	12	78.29	12.6	4
8.4	32	9.5	79.2	2.89	32
8.6	53	12.1	90.59	7.79	130
9.9	35	9.9	77.4	13.1	193
10.1	42	10.4	72.5	36.7	34
8.6	67	11.5	88.59	13.5	1
9.3	20	11.1	85.4	5.79	125
8.6	12	12.1	83.09	2	26
9.6	40	10.1	70.29	21	78
9.2	30	11.3	83.2	8.8	8
11.1	54	9.7	72.79	31.39	1
9.9	33	10.7	83.5	11.3	108
10.2	32	10.5	87.5	17.5	161
9.9	29	10.6	77.59	8.09	263
8.9	38	12	81.5	3.6	44
9.4	29	10.1	79.5	2.2	18
9.5	33	9.6	79.9	2.7	89
10.3	39	11	79.9	28.6	48
8.7	25	11.1	82.5	5	18
9.5	32	9.7	76.79	17.19	68
8.4	55	12.1	88.9	5.9	20
9.1	48	12.2	87.7	13.69	86
7.9	49	12.2	90.7	3	3
9	40	12.2	82.5	5.7	20
9	28	11.1	82.59	3.39	20
9.5	24	11.4	78	3.79	25
9.7	26	10.7	81.29	9.5	25
9.1	23	10.3	73.79	2.5	11
9.7	37	12.3	89.5	25.89	102
8.2	32	12.1	81	7.5	1
10	33	11.3	82.2	12.1	42
9	24	11.1	79.79	1	8
9.1	33	9	76.2	4.79	49
9.5	28	10.7	79.79	11.69	39
