area        area2        pendiente        largo        absorbencia        capacidad        infiltracion        lluvia        tiempo        	logq  
0.03        0.006                3            1                70               1.5                0.25           1.75          2               3.828641
0.03        0.006                3            1                70               1.5                0.25           2.25          3.7             3.332205
0.03        0.006                3            1                70               1.5                0.25           4             4.2             3.988984 
0.03        0.021                3            1                80                 1                0.25           1.6           1.5             4.248495
0.03        0.021                3            1                80                 1                0.25      	  3.1           4             3.850148 
0.03        0.021                3            1                80                 1                0.25           3.6           2.4             4.718499
0.13        0.005              6.5            2                65                 2                0.35           1.25          0.7             5.986452
0.13        0.005              6.5            2                65                 2                0.35           2.3           3.5             4.584967
0.13        0.005              6.5            2                65                 2                0.35           4.25          4               5.252273 
0.13        0.008              6.5            2                68               0.5                0.15           1.45          2               5.141664
0.13        0.008              6.5            2                68               0.5                0.15           2.6           4               5.010635
0.13        0.008              6.5            2                68               0.5                0.15           3.9           3               5.802118
1           0.023              15            10                60                 1                0.2            0.75          1               6.648985
1           0.023              15            10                60                 1                0.2            1.75          1.5             7.145196 
1           0.023              15            10                60                 1                0.2            3.25          4               6.744059 
1           0.023              15            10                65                 2                0.2            1.8           1               7.738052
1           0.023              15            10                65                 2                0.2            3.1           2               7.592870 
1           0.023              15            10                65                 2                0.2            4.75          6               6.802395
3           0.039               7            15                67               0.5                0.5            1.75          2               7.687539
3           0.039               7            15                67               0.5                0.5            3.25          4               7.817625
3           0.039               7            15                67               0.5                0.5            5             6.5             7.803843
3           0.109               6            15                62               1.5                0.6            1.5           1.5             7.492203
3           0.109               6            15                62               1.5                0.6            2.75          3               7.633854
3           0.109               6            15                62               1.5                0.6            4.2           5               7.857868
7           0.055             6.5            19                56                 2        	   0.5            1.8           2               7.787382 
7           0.055             6.5            19                56                 2                0.5            3.25          4               7.499977 
7           0.055             6.5            19                56                 2                0.5            5.25          6               8.014336 
7           0.063             6.5            19                56                 1                0.5            1.25          2               6.565265
7           0.063             6.5            19                56                 1                0.5            2.9           3.4             8.064951
7           0.063             6.5            19                56                 1                0.5            4.76          5               8.361475
