"Periodo","Total.billetes.en.circulación","Billetes.de.20.000.pesos","Billetes.de.10.000.pesos","Billetes.de.5.000.pesos","Billetes.de.2.000.pesos","Billetes.de.1.000.pesos","Billetes.de.500.pesos","Billetes.de.100.pesos","Billetes.de.50.pesos","Billetes.de.10.pesos","Otros.billetes","Total.monedas.en.circulación","Monedas.de.10.000.pesos","Monedas.de.2.000.pesos","Monedas.de.500.pesos","Monedas.de.100.pesos","Monedas.de.50.pesos","Monedas.de.10.pesos","Monedas.de.5.pesos","Monedas.de.1.peso","Monedas.de.0.50.peso","Monedas.de.0.10.peso","Monedas.de.0.05.peso","Monedas.de.0.01.peso","Otras.monedas"
2012-01-01,4836453.348,1373900.29,2802603.59,383927.9005,125812.756,145205.4675,4751.95725,NA,NA,NA,251.387059,253597.1584,348.32,98.542,103258.3215,89199.6947,18207.39765,29071.80049,9129.614255,4211.109909,NA,NA,NA,NA,72.357927
2012-02-01,4868327.067,1392025.45,2810097.35,389656.7355,124281.488,147263.1915,4751.46525,NA,NA,NA,251.387059,254667.7905,348.32,98.546,103459.1555,89873.745,18278.4206,29177.33208,9145.60327,4214.310163,NA,NA,NA,NA,72.357927
2012-03-01,4867030.335,1395938.09,2804169.85,394828.1355,121687.118,145405.8205,4749.93375,NA,NA,NA,251.387059,255863.9103,348.33,98.546,103836.478,90486.9169,18297.9638,29327.80105,9173.60645,4221.910183,NA,NA,NA,NA,72.357927
2012-04-01,4918298.524,1435042.33,2819284.33,394574.2505,120631.94,143764.3595,4749.92725,NA,NA,NA,251.387059,256756.5416,348.33,98.546,104057.0275,90857.3984,18396.60985,29508.55742,9191.604635,4226.109896,NA,NA,NA,NA,72.357927
2012-05-01,4924435.712,1452540.69,2816070.63,387083.1405,117827.832,145913.1755,4748.85675,NA,NA,NA,251.387059,257890.636,348.33,98.546,104523.7935,91087.123,18506.5678,29791.80221,9228.605345,4233.510237,NA,NA,NA,NA,72.357927
2012-06-01,5072577.892,1502437.73,2909958.09,388186.6855,120536.58,146458.6315,4748.78825,NA,NA,NA,251.387059,260031.1925,348.33,98.546,105472.5535,91844.2568,18624.5362,30062.48723,9265.614455,4242.510343,NA,NA,NA,NA,72.357927
2012-07-01,5022252.457,1488015.07,2875268.32,383879.0655,121686.268,148405.0945,4747.25225,NA,NA,NA,251.387059,262621.4841,348.33,98.546,106326.163,92650.3655,18769.4839,30816.30669,9290.62046,4249.310604,NA,NA,NA,NA,72.357927
2012-08-01,5099828.216,1507369.85,2926557.73,388546.4105,123600.658,148755.0255,4747.15525,NA,NA,NA,251.387059,266872.7367,348.33,98.546,108484.7945,94152.8897,18903.31845,31181.16181,9373.62801,4257.710303,NA,NA,NA,NA,72.357927
2012-09-01,5346118.166,1577336.83,3074995.47,402980.2605,131194.09,154615.1125,4747.11225,NA,NA,NA,249.291059,268294.5586,348.33,98.542,108536.4375,94952.7973,19102.22495,31459.72439,9450.63395,4273.510617,NA,NA,NA,NA,72.357927
2012-10-01,5331730.38,1611171.79,3034279.28,402944.2055,125547.52,152791.2125,4747.08075,NA,NA,NA,249.290959,271325.5802,348.33,98.542,109828.205,96235.094,19123.08825,31833.03629,9497.620605,4289.306108,NA,NA,NA,NA,72.357927
2012-11-01,5360925.599,1641339.89,3033185.42,400570.4755,126390.754,154442.9525,4746.81575,NA,NA,NA,249.291059,273910.787,348.33,98.542,111066.1315,96950.0218,19159.0762,32377.18563,9536.633035,4302.508942,NA,NA,NA,NA,72.357927
2012-12-01,5918150.749,1808594.19,3390659.54,418003.6455,134675.5,161221.8105,4746.77225,NA,NA,NA,249.291059,276966.9192,348.33,98.542,112340.3895,97972.8108,19366.7263,32866.03442,9579.624365,4322.103925,NA,NA,NA,NA,72.357927
2013-01-01,5603829.086809,1751079.97,3159955.79,398623.5255,130380.888,158793.3645,4746.25775,NA,NA,NA,249.291059,279296.028356,348.33,98.548,113231.361,98970.5133,19461.6553,33168.53852,9611.62108,4333.103229,NA,NA,NA,NA,72.357927
2013-02-01,5600106.305809,1756444.49,3158455.54,394580.5655,126916.546,158713.6655,4746.24775,NA,NA,NA,249.251059,280111.069244,348.33,98.548,113480.316,99367.3242,19508.1277,33266.33625,9628.62605,4341.103117,NA,NA,NA,NA,72.357927
2013-03-01,5697306.594309,1781883.59,3219841.99,402036.4555,126996.926,161552.1465,4746.23525,NA,NA,NA,249.251059,280869.901737,348.33,98.548,113726.898,99714.7336,19504.20665,33408.89885,9644.62716,4351.30155,NA,NA,NA,NA,72.357927
2013-04-01,5657682.039309,1781398.15,3185746.78,399508.1655,123719.464,162312.2105,4746.24225,NA,NA,NA,251.027059,284052.510559,348.33,98.548,114921.483,100848.6169,19686.35325,34008.90712,9699.61277,4368.301592,NA,NA,NA,NA,72.357927
