"Ano","Mes","Total","VeinteMil","DiezMil","CincoMil","DosMil"
2012,1,4836453.348,1373900.29,2802603.59,383927.9005,125812.756
2012,2,4868327.067,1392025.45,2810097.35,389656.7355,124281.488
2012,3,4867030.335,1395938.09,2804169.85,394828.1355,121687.118
2012,4,4918298.524,1435042.33,2819284.33,394574.2505,120631.94
2012,5,4924435.712,1452540.69,2816070.63,387083.1405,117827.832
2012,6,5072577.892,1502437.73,2909958.09,388186.6855,120536.58
2012,7,5022252.457,1488015.07,2875268.32,383879.0655,121686.268
2012,8,5099828.216,1507369.85,2926557.73,388546.4105,123600.658
2012,9,5346118.166,1577336.83,3074995.47,402980.2605,131194.09
2012,10,5331730.38,1611171.79,3034279.28,402944.2055,125547.52
2012,11,5360925.599,1641339.89,3033185.42,400570.4755,126390.754
2012,12,5918150.749,1808594.19,3390659.54,418003.6455,134675.5
2013,1,5603829.086809,1751079.97,3159955.79,398623.5255,130380.888
2013,2,5600106.305809,1756444.49,3158455.54,394580.5655,126916.546
2013,3,5697306.594309,1781883.59,3219841.99,402036.4555,126996.926
2013,4,5657682.039309,1781398.15,3185746.78,399508.1655,123719.464
2013,5,5671819.297809,1806681.39,3181116.74,393492.5205,123014.93
2013,6,5781366.880309,1863303.85,3226941.26,399040.3955,122500.37
2013,7,5745024.257809,1867786.71,3194606.12,389528.3155,121161.744
2013,8,5927394.258309,1900176.59,3314750.5,420482.6905,118686.06
2013,9,6126072.762309,1928554.59,3467834.9,428024.8055,122445.536
2013,10,6067513.983809,1928463.29,3410362.41,431385.2605,117230.166
2013,11,6082498.751609,1931950.33,3422170.02,431693.5205,115974.068
2013,12,6609747.589109,2093132.61,3756732.91,453165.3205,117038.538
2014,1,6283363.207109,2018406.75,3527670.12,436114.8555,112479.72
2014,2,6349319.651209,2033765.65,3590131.37,431539.6305,107240.044
2014,3,6313875.979809,2038237.75,3558914,424791.8355,104183.926
2014,4,6346987.657809,2054741.03,3589733.52,408559.3255,102856.982
2014,5,6394315.212909,2069733.27,3624854.8,407381.8955,101807.342
2014,6,6365512.816809,2067924.23,3609122.14,397248.7155,98674.164
2014,7,6277317.406109,2065036.41,3534277.08,386960.2205,98102.596
2014,8,6342168.545609,2095653.29,3558804.63,394462.6555,99589.65
2014,9,6522846.484909,2155935.01,3667807.11,401192.2855,99395.55
2014,10,6485664.156009,2152275.45,3648707.27,393431.9605,94142.934
2014,11,6608071.318509,2210685.33,3692758.33,403986.1905,96358.138
2014,12,7240261.026009,2414066.55,4076067.37,439862.7155,95623.094
2015,1,7043097.066609,2379016.45,3920484.2,423817.3155,95116.678
2015,2,7042823.957609,2435828.69,3878761.75,410529.5505,92987.618
2015,3,7104234.995109,2491010.87,3891926.66,401310.0055,92453.208
2015,4,7489591.844009,2673889.25,4069295.33,415255.2305,90270.442
2015,5,7681118.686009,2793455.69,4135723.86,420431.9955,90942.678
2015,6,7472000.027009,2784789.57,3957378.18,404830.1305,89389.192
2015,7,7384559.928009,2806765.93,3850531.52,403915.5155,86645.68
2015,8,7395055.525509,2874129.23,3810482.8,385206.4605,86594.2
2015,9,7547646.268509,2977127.81,3848674.64,389716.7755,88685.468
2015,10,7488989.826509,3030824.17,3756707.68,371851.3205,84572.3
2015,11,7520311.083509,3062222.61,3753215.79,369923.8005,83747.928
2015,12,8039664.812909,3294372.07,4019344.18,387417.5255,83054.758
2016,1,7869785.772909,3272676.91,3880513.89,378253.9405,84154.55
2016,2,7824344.189909,3311559.41,3812470.76,366277.2555,82392.75
2016,3,7810757.064409,3320892.87,3792118.77,362330.0705,82661.47
2016,4,7710748.251109,3342627.01,3675848.11,357494.9955,80321.9
2016,5,7712934.710109,3372101.53,3649205.97,354181.9855,79856.872
2016,6,7677215.871109,3393430.39,3594454.06,344783.8055,87156.956
2016,7,7744816.277609,3467664.39,3584215.21,346035.3605,87590.936
2016,8,7746183.581109,3495099.43,3555473.22,346787.6855,88252.182
2016,9,7935801.398609,3579876.31,3654342.92,348532.4905,86182.028
