"MTU","EUR_MWh"
"2024-02-06 00:00:00",35.95
"2024-02-06 01:00:00",28.93
"2024-02-06 02:00:00",12.2
"2024-02-06 03:00:00",6.81
"2024-02-06 04:00:00",4.6
"2024-02-06 05:00:00",21.2
"2024-02-06 06:00:00",52.2
"2024-02-06 07:00:00",70.27
"2024-02-06 08:00:00",88.87
"2024-02-06 09:00:00",87.3
"2024-02-06 10:00:00",84.18
"2024-02-06 11:00:00",64.13
"2024-02-06 12:00:00",53.96
"2024-02-06 13:00:00",50.95
"2024-02-06 14:00:00",52.43
"2024-02-06 15:00:00",56.89
"2024-02-06 16:00:00",61.33
"2024-02-06 17:00:00",71.98
"2024-02-06 18:00:00",84.73
"2024-02-06 19:00:00",88.5
"2024-02-06 20:00:00",65.54
"2024-02-06 21:00:00",59.98
"2024-02-06 22:00:00",56.93
"2024-02-06 23:00:00",52.83
"2024-02-05 00:00:00",11.2
"2024-02-05 01:00:00",21.74
"2024-02-05 02:00:00",11.87
"2024-02-05 03:00:00",0.75
"2024-02-05 04:00:00",0.68
"2024-02-05 05:00:00",3.47
"2024-02-05 06:00:00",43.37
"2024-02-05 07:00:00",80.28
"2024-02-05 08:00:00",97.61
"2024-02-05 09:00:00",104.08
"2024-02-05 10:00:00",92.32
"2024-02-05 11:00:00",88.87
"2024-02-05 12:00:00",90.93
"2024-02-05 13:00:00",65.69
"2024-02-05 14:00:00",72.08
"2024-02-05 15:00:00",61.1
"2024-02-05 16:00:00",63.74
"2024-02-05 17:00:00",77.74
"2024-02-05 18:00:00",98.73
"2024-02-05 19:00:00",100
"2024-02-05 20:00:00",90.55
"2024-02-05 21:00:00",68.12
"2024-02-05 22:00:00",56.46
"2024-02-05 23:00:00",47.65
"2024-02-04 00:00:00",39.47
"2024-02-04 01:00:00",29
"2024-02-04 02:00:00",11.5
"2024-02-04 03:00:00",2.54
"2024-02-04 04:00:00",0.65
"2024-02-04 05:00:00",3.5
"2024-02-04 06:00:00",5.45
"2024-02-04 07:00:00",7.66
"2024-02-04 08:00:00",15.32
"2024-02-04 09:00:00",21.85
"2024-02-04 10:00:00",26.64
"2024-02-04 11:00:00",20.2
"2024-02-04 12:00:00",17.45
"2024-02-04 13:00:00",5.48
"2024-02-04 14:00:00",12.47
"2024-02-04 15:00:00",24.4
"2024-02-04 16:00:00",34.81
"2024-02-04 17:00:00",56.21
"2024-02-04 18:00:00",70
"2024-02-04 19:00:00",84.85
"2024-02-04 20:00:00",56.47
"2024-02-04 21:00:00",59.72
"2024-02-04 22:00:00",58.26
"2024-02-04 23:00:00",42
"2024-02-03 00:00:00",42.13
"2024-02-03 01:00:00",46.94
"2024-02-03 02:00:00",41.82
"2024-02-03 03:00:00",19.73
"2024-02-03 04:00:00",12.54
"2024-02-03 05:00:00",13.21
"2024-02-03 06:00:00",24.47
"2024-02-03 07:00:00",39.75
"2024-02-03 08:00:00",52.1
"2024-02-03 09:00:00",64.96
"2024-02-03 10:00:00",61.59
"2024-02-03 11:00:00",52.13
"2024-02-03 12:00:00",46.71
"2024-02-03 13:00:00",43.83
"2024-02-03 14:00:00",41.76
"2024-02-03 15:00:00",45.27
"2024-02-03 16:00:00",51.43
"2024-02-03 17:00:00",64.86
"2024-02-03 18:00:00",85.88
"2024-02-03 19:00:00",80.28
"2024-02-03 20:00:00",64.17
"2024-02-03 21:00:00",59.74
"2024-02-03 22:00:00",51.75
"2024-02-03 23:00:00",42.6
"2024-02-02 00:00:00",64.42
"2024-02-02 01:00:00",59.99
"2024-02-02 02:00:00",58
"2024-02-02 03:00:00",54.69
"2024-02-02 04:00:00",52.72
"2024-02-02 05:00:00",54.94
"2024-02-02 06:00:00",64.47
"2024-02-02 07:00:00",78.77
"2024-02-02 08:00:00",90.06
"2024-02-02 09:00:00",86.21
"2024-02-02 10:00:00",80.84
"2024-02-02 11:00:00",75.2
"2024-02-02 12:00:00",65.01
"2024-02-02 13:00:00",60
"2024-02-02 14:00:00",59.75
"2024-02-02 15:00:00",59.78
"2024-02-02 16:00:00",64.66
"2024-02-02 17:00:00",71.35
"2024-02-02 18:00:00",81.04
"2024-02-02 19:00:00",87.8
"2024-02-02 20:00:00",79.9
"2024-02-02 21:00:00",65.05
"2024-02-02 22:00:00",69.38
"2024-02-02 23:00:00",60.71
"2024-02-01 00:00:00",49.53
"2024-02-01 01:00:00",44.19
"2024-02-01 02:00:00",44.47
"2024-02-01 03:00:00",45.15
"2024-02-01 04:00:00",49.02
"2024-02-01 05:00:00",57.56
"2024-02-01 06:00:00",70.56
"2024-02-01 07:00:00",87.22
"2024-02-01 08:00:00",96.72
"2024-02-01 09:00:00",89.84
"2024-02-01 10:00:00",83.78
"2024-02-01 11:00:00",80
"2024-02-01 12:00:00",68.99
"2024-02-01 13:00:00",60.96
"2024-02-01 14:00:00",70.8
"2024-02-01 15:00:00",81.49
"2024-02-01 16:00:00",80.97
"2024-02-01 17:00:00",99
"2024-02-01 18:00:00",103.85
"2024-02-01 19:00:00",98.4
"2024-02-01 20:00:00",91.18
"2024-02-01 21:00:00",83.46
"2024-02-01 22:00:00",81.99
"2024-02-01 23:00:00",73.52
"2024-01-31 00:00:00",75.1
"2024-01-31 01:00:00",71.96
"2024-01-31 02:00:00",70.89
"2024-01-31 03:00:00",69.82
"2024-01-31 04:00:00",69.19
"2024-01-31 05:00:00",73.91
"2024-01-31 06:00:00",84.57
"2024-01-31 07:00:00",99.21
"2024-01-31 08:00:00",120.06
"2024-01-31 09:00:00",93.38
"2024-01-31 10:00:00",82.98
"2024-01-31 11:00:00",77.09
"2024-01-31 12:00:00",74.91
"2024-01-31 13:00:00",66.93
"2024-01-31 14:00:00",66.07
"2024-01-31 15:00:00",69.23
"2024-01-31 16:00:00",72.23
"2024-01-31 17:00:00",80.96
"2024-01-31 18:00:00",89.26
"2024-01-31 19:00:00",81.04
"2024-01-31 20:00:00",72.77
"2024-01-31 21:00:00",59.33
"2024-01-31 22:00:00",56.97
"2024-01-31 23:00:00",41.96
"2024-01-30 00:00:00",71.94
"2024-01-30 01:00:00",68.7
"2024-01-30 02:00:00",69.37
"2024-01-30 03:00:00",66.06
"2024-01-30 04:00:00",65.29
"2024-01-30 05:00:00",69.37
"2024-01-30 06:00:00",78.7
"2024-01-30 07:00:00",90.82
"2024-01-30 08:00:00",95.94
"2024-01-30 09:00:00",84.93
"2024-01-30 10:00:00",77.15
"2024-01-30 11:00:00",70.1
"2024-01-30 12:00:00",68.1
"2024-01-30 13:00:00",68.23
"2024-01-30 14:00:00",71.93
"2024-01-30 15:00:00",75
"2024-01-30 16:00:00",80.22
"2024-01-30 17:00:00",88.42
"2024-01-30 18:00:00",99.49
"2024-01-30 19:00:00",101.39
"2024-01-30 20:00:00",88.31
"2024-01-30 21:00:00",79.18
"2024-01-30 22:00:00",79.59
"2024-01-30 23:00:00",76.34
"2024-01-29 00:00:00",49.97
"2024-01-29 01:00:00",47.26
"2024-01-29 02:00:00",48.12
"2024-01-29 03:00:00",47.97
"2024-01-29 04:00:00",51.58
"2024-01-29 05:00:00",60.06
"2024-01-29 06:00:00",80.34
"2024-01-29 07:00:00",90.51
"2024-01-29 08:00:00",99.21
"2024-01-29 09:00:00",88.39
"2024-01-29 10:00:00",78.9
"2024-01-29 11:00:00",71.27
"2024-01-29 12:00:00",70.24
"2024-01-29 13:00:00",74.44
"2024-01-29 14:00:00",80.41
"2024-01-29 15:00:00",88.77
"2024-01-29 16:00:00",94.46
"2024-01-29 17:00:00",105.06
"2024-01-29 18:00:00",112.92
"2024-01-29 19:00:00",107.52
"2024-01-29 20:00:00",88.56
"2024-01-29 21:00:00",83.39
"2024-01-29 22:00:00",82.9
"2024-01-29 23:00:00",80.29
"2024-01-28 00:00:00",66.77
"2024-01-28 01:00:00",59.33
"2024-01-28 02:00:00",55.71
"2024-01-28 03:00:00",52.51
"2024-01-28 04:00:00",51.24
"2024-01-28 05:00:00",51.9
"2024-01-28 06:00:00",52.62
"2024-01-28 07:00:00",54.74
"2024-01-28 08:00:00",57
"2024-01-28 09:00:00",55.42
"2024-01-28 10:00:00",51.73
"2024-01-28 11:00:00",46.48
"2024-01-28 12:00:00",41.78
"2024-01-28 13:00:00",40.22
"2024-01-28 14:00:00",44.31
"2024-01-28 15:00:00",45.42
"2024-01-28 16:00:00",53.5
"2024-01-28 17:00:00",67.73
"2024-01-28 18:00:00",73.11
"2024-01-28 19:00:00",70.72
"2024-01-28 20:00:00",69.09
"2024-01-28 21:00:00",58.04
"2024-01-28 22:00:00",59.91
"2024-01-28 23:00:00",56
"2024-01-27 00:00:00",70.44
"2024-01-27 01:00:00",64.85
"2024-01-27 02:00:00",60.5
"2024-01-27 03:00:00",56.3
"2024-01-27 04:00:00",55.98
"2024-01-27 05:00:00",57.38
"2024-01-27 06:00:00",59.41
"2024-01-27 07:00:00",66.26
"2024-01-27 08:00:00",79.16
"2024-01-27 09:00:00",77
"2024-01-27 10:00:00",66.57
"2024-01-27 11:00:00",58.07
"2024-01-27 12:00:00",55.84
"2024-01-27 13:00:00",53.88
"2024-01-27 14:00:00",59.74
"2024-01-27 15:00:00",73.58
"2024-01-27 16:00:00",76.81
"2024-01-27 17:00:00",82.12
"2024-01-27 18:00:00",95.96
"2024-01-27 19:00:00",92.53
"2024-01-27 20:00:00",84.45
"2024-01-27 21:00:00",76.15
"2024-01-27 22:00:00",75.97
"2024-01-27 23:00:00",72.7
"2024-01-26 00:00:00",62.8
"2024-01-26 01:00:00",62
"2024-01-26 02:00:00",58.49
"2024-01-26 03:00:00",53.24
"2024-01-26 04:00:00",41.51
"2024-01-26 05:00:00",50.24
"2024-01-26 06:00:00",59.56
"2024-01-26 07:00:00",72.56
"2024-01-26 08:00:00",78.57
"2024-01-26 09:00:00",75.21
"2024-01-26 10:00:00",65.88
"2024-01-26 11:00:00",60.49
"2024-01-26 12:00:00",53.75
"2024-01-26 13:00:00",48.27
"2024-01-26 14:00:00",51.41
"2024-01-26 15:00:00",52.92
"2024-01-26 16:00:00",63.37
"2024-01-26 17:00:00",75.47
"2024-01-26 18:00:00",102.08
"2024-01-26 19:00:00",100.79
"2024-01-26 20:00:00",96.86
"2024-01-26 21:00:00",75
"2024-01-26 22:00:00",84.86
"2024-01-26 23:00:00",78.2
"2024-01-25 00:00:00",73.8
"2024-01-25 01:00:00",68.31
"2024-01-25 02:00:00",69.56
"2024-01-25 03:00:00",61.26
"2024-01-25 04:00:00",63
"2024-01-25 05:00:00",68.44
"2024-01-25 06:00:00",73.29
"2024-01-25 07:00:00",84.41
"2024-01-25 08:00:00",96.83
"2024-01-25 09:00:00",90.61
"2024-01-25 10:00:00",83.96
"2024-01-25 11:00:00",78.66
"2024-01-25 12:00:00",74.95
"2024-01-25 13:00:00",73.01
"2024-01-25 14:00:00",74.59
"2024-01-25 15:00:00",74.78
"2024-01-25 16:00:00",81.64
"2024-01-25 17:00:00",94.69
"2024-01-25 18:00:00",102.98
"2024-01-25 19:00:00",97.16
"2024-01-25 20:00:00",84
"2024-01-25 21:00:00",77.81
"2024-01-25 22:00:00",75.01
"2024-01-25 23:00:00",70.48
"2024-01-24 00:00:00",7.03
"2024-01-24 01:00:00",4.49
"2024-01-24 02:00:00",2.58
"2024-01-24 03:00:00",-1.54
"2024-01-24 04:00:00",-3.25
"2024-01-24 05:00:00",1.81
"2024-01-24 06:00:00",19.75
"2024-01-24 07:00:00",54.63
"2024-01-24 08:00:00",69.49
"2024-01-24 09:00:00",67.86
"2024-01-24 10:00:00",59.12
"2024-01-24 11:00:00",53.98
"2024-01-24 12:00:00",44.05
"2024-01-24 13:00:00",40.69
"2024-01-24 14:00:00",48.46
"2024-01-24 15:00:00",60.32
"2024-01-24 16:00:00",65.43
"2024-01-24 17:00:00",74.61
"2024-01-24 18:00:00",95.9
"2024-01-24 19:00:00",98.72
"2024-01-24 20:00:00",95.47
"2024-01-24 21:00:00",83.42
"2024-01-24 22:00:00",87.7
"2024-01-24 23:00:00",92.64
"2024-01-23 00:00:00",18.05
"2024-01-23 01:00:00",12.51
"2024-01-23 02:00:00",11.58
"2024-01-23 03:00:00",6.61
"2024-01-23 04:00:00",12.27
"2024-01-23 05:00:00",40.3
"2024-01-23 06:00:00",63.03
"2024-01-23 07:00:00",83.01
"2024-01-23 08:00:00",90.63
"2024-01-23 09:00:00",87.82
"2024-01-23 10:00:00",90.68
"2024-01-23 11:00:00",69.58
"2024-01-23 12:00:00",63.11
"2024-01-23 13:00:00",61.31
"2024-01-23 14:00:00",66.08
"2024-01-23 15:00:00",72.97
"2024-01-23 16:00:00",71.52
"2024-01-23 17:00:00",81.2
"2024-01-23 18:00:00",85.19
"2024-01-23 19:00:00",76.01
"2024-01-23 20:00:00",65.02
"2024-01-23 21:00:00",59.18
"2024-01-23 22:00:00",49.44
"2024-01-23 23:00:00",35.17
"2024-01-22 00:00:00",40.66
"2024-01-22 01:00:00",34.75
"2024-01-22 02:00:00",29.55
"2024-01-22 03:00:00",15.28
"2024-01-22 04:00:00",12.04
"2024-01-22 05:00:00",22.2
"2024-01-22 06:00:00",45.32
"2024-01-22 07:00:00",67.3
"2024-01-22 08:00:00",90.1
"2024-01-22 09:00:00",86.66
"2024-01-22 10:00:00",74.3
"2024-01-22 11:00:00",61.08
"2024-01-22 12:00:00",57.24
"2024-01-22 13:00:00",57.15
"2024-01-22 14:00:00",59.41
"2024-01-22 15:00:00",61.39
"2024-01-22 16:00:00",64.73
"2024-01-22 17:00:00",80.36
"2024-01-22 18:00:00",95.47
"2024-01-22 19:00:00",82.94
"2024-01-22 20:00:00",68.49
"2024-01-22 21:00:00",60.95
"2024-01-22 22:00:00",57.19
"2024-01-22 23:00:00",51.22
"2024-01-21 00:00:00",70.35
"2024-01-21 01:00:00",58.07
"2024-01-21 02:00:00",55.15
"2024-01-21 03:00:00",50.89
"2024-01-21 04:00:00",48.61
"2024-01-21 05:00:00",47.69
"2024-01-21 06:00:00",45.87
"2024-01-21 07:00:00",48
"2024-01-21 08:00:00",53.45
"2024-01-21 09:00:00",61.11
"2024-01-21 10:00:00",65.23
"2024-01-21 11:00:00",61.13
"2024-01-21 12:00:00",66
"2024-01-21 13:00:00",51.7
"2024-01-21 14:00:00",55.84
"2024-01-21 15:00:00",53.12
"2024-01-21 16:00:00",54.79
"2024-01-21 17:00:00",64.04
"2024-01-21 18:00:00",81.42
"2024-01-21 19:00:00",86.58
"2024-01-21 20:00:00",82.51
"2024-01-21 21:00:00",56.26
"2024-01-21 22:00:00",69.78
"2024-01-21 23:00:00",65
"2024-01-20 00:00:00",87.07
"2024-01-20 01:00:00",68.7
"2024-01-20 02:00:00",75
"2024-01-20 03:00:00",68.7
"2024-01-20 04:00:00",64.79
"2024-01-20 05:00:00",68.7
"2024-01-20 06:00:00",75.1
"2024-01-20 07:00:00",81.6
"2024-01-20 08:00:00",89.92
"2024-01-20 09:00:00",94.94
"2024-01-20 10:00:00",89.64
"2024-01-20 11:00:00",80.3
