"Periodo","MontoTotal","MontoM","MontoH","NumeroTotal","NumeroM","NumeroH"
2009-01-01,6296856.1876,2819438.7794634,3477417.4081365,621311,337953.45924693,283357.54075306
2009-02-01,5911133.8105,2657973.345023,3253160.4654769,604729,322369.42094004,282359.57905995
2009-03-01,5490732.2869,2546856.8074362,2943875.4794637,573302,314313.72901326,258988.27098673
2009-04-01,5316314.549,2454281.3664505,2862033.1825494,556366,306638.41204418,249727.58795581
2009-05-01,4986803.8248999,2327208.2310706,2659595.5938293,541341,299184.64651769,242156.3534823
2009-06-01,4780640.284,2255991.0627055,2524649.2212944,526725,292826.166887,233898.83311299
2009-07-01,4623600.3979,2219104.8146566,2404495.5832433,506183,282515.30842094,223667.69157905
2009-08-01,4329040.5425,2075161.1422235,2253879.4002764,484865,271974.79889914,212890.20110085
2009-09-01,4247868.5221,2029944.1505067,2217924.3715932,473627,266420.25407475,207206.74592524
2009-10-01,4119766.393,1955604.6485512,2164161.7444487,460395,259321.69737845,201073.30262154
2009-11-01,3975789.8334999,1904836.1764155,2070953.6570844,451650,254669.16852265,196980.83147734
2009-12-01,4049950.1329,1925366.2108287,2124583.9220712,446523,251662.80649349,194860.1935065
2010-01-01,4110515.0781,1916594.0548579,2193921.023242,443227,250228.20822479,192998.7917752
2010-02-01,4031474.4546,1890300.4312354,2141174.0233645,439140,248392.06840432,190747.93159567
2010-03-01,3860594.1777999,1832791.0825935,2027803.0952064,431057,244277.69871467,186779.30128532
2010-04-01,3716026.6647,1780781.4961994,1935245.1685005,424004,240439.32926849,183564.6707315
2010-05-01,3866609.9457,1773351.9294635,2093258.0162364,421379,239217.50423065,182161.49576934
2010-06-01,3952779.2944,1967903.6444996,1984875.6499003,422634,239670.40618661,182963.59381338
2010-07-01,3969346.2351,1830702.2319088,2138644.0031911,426505,241514.92902267,184990.07097732
2010-08-01,3974157.0091,1892857.0117791,2081299.9973208,434840,246926.32538198,187913.67461801
2010-09-01,4067014.4986,1938874.3182161,2128140.1803838,442612,251039.53507881,191572.46492118
