"Trabajo","Empleo","Desempleo","Mes"
7883.6864769002,7156.2115762159,9.2275980636192,"Marzo"
7896.5179887001,7198.7773872589,8.836054099283,"Abril"
7905.9167093938,7221.5754991687,8.6560640009262,"Junio"
8246.3672106043,7623.9218017392,7.5481165580962,"Marzo"
8250.0135465713,7655.095841246,7.2111118602051,"Abril"
8296.9397965899,7698.5433083205,7.2122553970482,"Junio"
8416.8976043717,7844.7755797468,6.7973028961148,"Marzo"
8419.9565539352,7850.4581172158,6.7636742906146,"Abril"
8388.3699921649,7819.5301126655,6.7812921942007,"Junio"
8539.4395331519,7990.6858485859,6.4261089083845,"Marzo"
8580.1215587332,8019.0665484377,6.5390100414664,"Abril"
8538.8223390041,8004.245891722,6.2605406935358,"Junio"
8722.8688081573,8156.1959971115,6.4964041476347,"Marzo"
8716.8875590587,8181.3091599605,6.1441471565352,"Abril"
8686.6155304662,8120.4365313272,6.5178319122478,"Junio"
8779.0343054458,8232.2001626845,6.2288644027975,"Marzo"
8788.8613056307,8230.2552125792,6.3558414864696,"Abril"
8802.7785012298,8215.6134511849,6.6702240657655,"Junio"
8940.8793666352,8360.5716750241,6.49049906407,"Marzo"
8968.6262755171,8376.2291567571,6.6052157884769,"Abril"
8966.7062614132,8337.4210017,7.0180202335965,"Junio"
9127.0098842031,8484.4474920955,7.0402289496768,"Marzo"
9147.3515044111,8499.9039797776,7.0779779734202,"Abril"
9196.6431445451,8524.1368343171,7.3125193579654,"Junio"
9456.6084761079,8759.0807527202,7.3760875809755,"Marzo"
9441.3954861696,8781.0837399422,6.9937939491544,"Abril"
9466.8616971307,8755.5487377646,7.5137144929646,"Junio"
9571.7483956725,8879.1099535837,7.23627924029,"Marzo"
9597.0564163644,8916.0168798452,7.0963377412054,"Abril"
9620.4577343928,8922.6077561606,7.2538126303226,"Junio"
9744.2293154691,8942.424519778,8.2285090973616,"Marzo"
9050.657950137,8235.9307920195,9.0018555844912,"Abril"
8136.6987170241,7142.5682851834,12.217859680127,"Junio"
9089.2937424389,8148.205568526,10.353809664207,"Marzo"
9029.1032951418,8104.1288069841,10.244367108474,"Abril"
8884.9496070841,8041.1914145572,9.4964882170436,"Junio"
9541.6023505117,8797.561064269,7.7978651688704,"Marzo"
9577.4932698408,8835.4776322722,7.7474931765825,"Abril"
9587.345015051,8838.4320758244,7.8114737505625,"Junio"
9876.0771678725,9006.1450081268,8.808478760936,"Marzo"
9860.6310574468,9006.7291141666,8.6597088797411,"Abril"
9877.4192735815,9035.1139835172,8.5275846527762,"Junio"
