"Fecha","VC_CIC","VP_CIC","VC_FCS","VP_FCS"
"2015-01-01",2171.53,3.386241e+18,2279.63,1.503043e+18
"2015-01-02",2171.46,3.386139e+18,2279.13,1.50267e+18
"2015-01-03",2171.46,3.386139e+18,2279.13,1.50267e+18
"2015-01-04",2171.46,3.386139e+18,2279.13,1.50267e+18
"2015-01-05",2172.82,3.388203e+18,2278.86,1.502493e+18
"2015-01-06",2175.09,3.392458e+18,2278.31,1.502278e+18
"2015-01-07",2176.25,3.394379e+18,2277.49,1.501802e+18
"2015-01-08",2174.33,3.391592e+18,2275.76,1.500671e+18
"2015-01-09",2174.05,3.382072e+18,2277.13,1.501393e+18
"2015-01-10",2174.05,3.382072e+18,2277.13,1.501393e+18
"2015-01-11",2174.05,3.382072e+18,2277.13,1.501393e+18
"2015-01-12",2174.91,3.383487e+18,2278.48,1.502262e+18
"2015-01-13",2175.69,3.384063e+18,2278.46,1.502253e+18
"2015-01-14",2176.44,3.385369e+18,2279.41,1.502882e+18
"2015-01-15",2181.72,3.392405e+18,2283.53,1.505573e+18
"2015-01-16",2180.8,3.39098e+18,2283.24,1.505366e+18
"2015-01-17",2180.8,3.39098e+18,2283.24,1.505366e+18
"2015-01-18",2180.8,3.39098e+18,2283.24,1.505366e+18
"2015-01-19",2182.22,3.408952e+18,2284.24,1.510123e+18
"2015-01-20",2184.21,3.427556e+18,2285.08,1.515156e+18
"2015-01-21",2183.28,3.431609e+18,2286.63,1.520597e+18
"2015-01-22",2183.89,3.448094e+18,2288.33,1.526253e+18
"2015-01-23",2183.95,3.453075e+18,2292.29,1.530493e+18
"2015-01-24",2183.95,3.453075e+18,2292.29,1.530493e+18
"2015-01-25",2183.95,3.453075e+18,2292.29,1.530493e+18
"2015-01-26",2184.24,3.455343e+18,2293.51,1.532076e+18
"2015-01-27",2184.53,3.456274e+18,2292.79,1.532547e+18
"2015-01-28",2185.31,3.456087e+18,2293.53,1.531115e+18
"2015-01-29",2185.21,3.456336e+18,2293.99,1.531531e+18
"2015-01-30",2189.43,3.444952e+18,2298.25,1.534464e+18
"2015-01-31",2189.43,3.444952e+18,2298.25,1.534464e+18
"2015-02-01",2189.43,3.444952e+18,2298.25,1.534464e+18
"2015-02-02",2192.38,3.449678e+18,2299.8,1.535483e+18
"2015-02-03",2193.41,3.451151e+18,2302.11,1.537e+18
"2015-02-04",2192.08,3.45027e+18,2304.04,1.538556e+18
"2015-02-05",2192.49,3.451007e+18,2305.78,1.539722e+18
"2015-02-06",2193.2,3.452058e+18,2308.22,1.541328e+18
"2015-02-07",2193.2,3.452058e+18,2308.22,1.541328e+18
"2015-02-08",2193.2,3.452058e+18,2308.22,1.541328e+18
"2015-02-09",2192.97,3.451676e+18,2308.19,1.541246e+18
"2015-02-10",2194.29,3.453771e+18,2308.27,1.54128e+18
"2015-02-11",2194.35,3.443625e+18,2309.18,1.541673e+18
"2015-02-12",2194.71,3.443299e+18,2309.79,1.542148e+18
"2015-02-13",2196.24,3.44451e+18,2313.44,1.544566e+18
"2015-02-14",2196.24,3.44451e+18,2313.44,1.544566e+18
"2015-02-15",2196.24,3.44451e+18,2313.44,1.544566e+18
"2015-02-16",2194.53,3.457437e+18,2313.49,1.548832e+18
"2015-02-17",2195.2,3.474056e+18,2314.35,1.55379e+18
"2015-02-18",2195.2,3.503656e+18,2314.94,1.561999e+18
"2015-02-19",2195.59,3.496673e+18,2316.45,1.564571e+18
"2015-02-20",2196.38,3.49896e+18,2317.2,1.565388e+18
"2015-02-21",2196.38,3.49896e+18,2317.2,1.565388e+18
"2015-02-22",2196.38,3.49896e+18,2317.2,1.565388e+18
"2015-02-23",2195.08,3.498714e+18,2316.24,1.56518e+18
"2015-02-24",2197.12,3.501934e+18,2318.98,1.567088e+18
"2015-02-25",2198.28,3.503932e+18,2320.29,1.56801e+18
"2015-02-26",2197.91,3.501334e+18,2319.55,1.566371e+18
"2015-02-27",2197.22,3.485141e+18,2318.77,1.565926e+18
"2015-02-28",2197.22,3.485141e+18,2318.77,1.565926e+18
"2015-03-01",2197.22,3.485141e+18,2318.77,1.565926e+18
"2015-03-02",2198.21,3.486771e+18,2320.94,1.567326e+18
"2015-03-03",2197.35,3.48539e+18,2318.19,1.565466e+18
"2015-03-04",2197.12,3.48551e+18,2318.16,1.565582e+18
"2015-03-05",2197.59,3.486596e+18,2318.75,1.566083e+18
"2015-03-06",2198.19,3.487604e+18,2319.32,1.566454e+18
"2015-03-07",2198.19,3.487604e+18,2319.32,1.566454e+18
"2015-03-08",2198.19,3.487604e+18,2319.32,1.566454e+18
"2015-03-09",2199.9,3.490365e+18,2320.66,1.567312e+18
"2015-03-10",2201.55,3.492844e+18,2320.55,1.567221e+18
"2015-03-11",2203.59,3.484829e+18,2321.05,1.567357e+18
"2015-03-12",2205.88,3.487808e+18,2322.3,1.568198e+18
"2015-03-13",2205.28,3.485698e+18,2323,1.568653e+18
"2015-03-14",2205.28,3.485698e+18,2323,1.568653e+18
"2015-03-15",2205.28,3.485698e+18,2323,1.568653e+18
"2015-03-16",2208.46,3.499145e+18,2325.67,1.572736e+18
"2015-03-17",2208.79,3.530462e+18,2326.9,1.582066e+18
"2015-03-18",2209.63,3.547121e+18,2327.62,1.587404e+18
"2015-03-19",2209.88,3.547377e+18,2327.56,1.590095e+18
"2015-03-20",2210.66,3.549125e+18,2328.12,1.590751e+18
"2015-03-21",2210.66,3.549125e+18,2328.12,1.590751e+18
"2015-03-22",2210.66,3.549125e+18,2328.12,1.590751e+18
"2015-03-23",2210.47,3.548778e+18,2329.16,1.591442e+18
"2015-03-24",2207.03,3.543698e+18,2324.09,1.588023e+18
"2015-03-25",2205.99,3.542393e+18,2323.38,1.587692e+18
"2015-03-26",2204.65,3.537832e+18,2322.01,1.585619e+18
"2015-03-27",2204.82,3.538492e+18,2320.11,1.584419e+18
"2015-03-28",2204.82,3.538492e+18,2320.11,1.584419e+18
"2015-03-29",2204.82,3.538492e+18,2320.11,1.584419e+18
"2015-03-30",2206.06,3.540836e+18,2321.87,1.585654e+18
"2015-03-31",2207.52,3.543586e+18,2324.86,1.587561e+18
"2015-04-01",2207.49,3.521156e+18,2325.11,1.587721e+18
"2015-04-02",2205.16,3.517428e+18,2322.58,1.58597e+18
"2015-04-03",2205.16,3.517428e+18,2322.58,1.58597e+18
"2015-04-04",2205.16,3.517428e+18,2322.58,1.58597e+18
"2015-04-05",2205.16,3.517428e+18,2322.58,1.58597e+18
"2015-04-06",2204.99,3.517843e+18,2323.67,1.586794e+18
"2015-04-07",2203.67,3.515784e+18,2322.7,1.586227e+18
"2015-04-08",2203.92,3.516334e+18,2323.96,1.587067e+18
"2015-04-09",2203.16,3.505493e+18,2323.87,1.586792e+18
"2015-04-10",2203.1,3.505548e+18,2324.65,1.587328e+18
"2015-04-11",2203.1,3.505548e+18,2324.65,1.587328e+18
"2015-04-12",2203.1,3.505548e+18,2324.65,1.587328e+18
"2015-04-13",2205.66,3.508744e+18,2328.29,1.589785e+18
"2015-04-14",2207.26,3.510999e+18,2329.95,1.590936e+18
"2015-04-15",2204.16,3.504883e+18,2325.39,1.587798e+18
"2015-04-16",2205.65,3.516017e+18,2327.11,1.591433e+18
"2015-04-17",2203.86,3.54013e+18,2325.98,1.597786e+18
"2015-04-18",2203.86,3.54013e+18,2325.98,1.597786e+18
"2015-04-19",2203.86,3.54013e+18,2325.98,1.597786e+18
"2015-04-20",2204.01,3.554457e+18,2323.83,1.60081e+18
"2015-04-21",2204.31,3.561051e+18,2323.91,1.60243e+18
"2015-04-22",2204.48,3.55115e+18,2325,1.604072e+18
"2015-04-23",2204.65,3.556588e+18,2325.23,1.605566e+18
"2015-04-24",2205.58,3.561433e+18,2326.73,1.607819e+18
"2015-04-25",2205.58,3.561433e+18,2326.73,1.607819e+18
"2015-04-26",2205.58,3.561433e+18,2326.73,1.607819e+18
"2015-04-27",2205.56,3.561159e+18,2327.99,1.609441e+18
"2015-04-28",2204.32,3.559639e+18,2328.15,1.609727e+18
"2015-04-29",2203.19,3.555448e+18,2326.38,1.605707e+18
"2015-04-30",2202.79,3.531924e+18,2324.97,1.604867e+18
"2015-05-01",2202.79,3.531924e+18,2324.97,1.604867e+18
"2015-05-02",2202.79,3.531924e+18,2324.97,1.604867e+18
"2015-05-03",2202.79,3.531924e+18,2324.97,1.604867e+18
"2015-05-04",2204.76,3.535047e+18,2326.9,1.606155e+18
"2015-05-05",2206.63,3.537884e+18,2329.41,1.607857e+18
"2015-05-06",2204.34,3.534877e+18,2327.26,1.606482e+18
"2015-05-07",2202.82,3.532808e+18,2324.56,1.604681e+18
"2015-05-08",2201.05,3.529992e+18,2321.37,1.60249e+18
"2015-05-09",2201.05,3.529992e+18,2321.37,1.60249e+18
"2015-05-10",2201.05,3.529992e+18,2321.37,1.60249e+18
"2015-05-11",2201.04,3.518058e+18,2323.37,1.603524e+18
"2015-05-12",2201.2,3.518225e+18,2324.43,1.604256e+18
"2015-05-13",2199.54,3.514731e+18,2320.69,1.601682e+18
"2015-05-14",2198.21,3.512676e+18,2319.58,1.600893e+18
"2015-05-15",2194.24,3.505135e+18,2313.56,1.59672e+18
"2015-05-16",2194.24,3.505135e+18,2313.56,1.59672e+18
"2015-05-17",2194.24,3.505135e+18,2313.56,1.59672e+18
"2015-05-18",2195.46,3.511055e+18,2315.2,1.598854e+18
"2015-05-19",2195.68,3.54282e+18,2316.04,1.608009e+18
"2015-05-20",2196.45,3.557266e+18,2317.25,1.615661e+18
"2015-05-21",2196.45,3.557266e+18,2317.25,1.615661e+18
"2015-05-22",2197.11,3.562304e+18,2317.68,1.61827e+18
"2015-05-23",2197.11,3.562304e+18,2317.68,1.61827e+18
"2015-05-24",2197.11,3.562304e+18,2317.68,1.61827e+18
"2015-05-25",2199.12,3.565757e+18,2319.49,1.61971e+18
"2015-05-26",2199.58,3.566104e+18,2320.7,1.621411e+18
"2015-05-27",2200,3.567065e+18,2320.33,1.621255e+18
"2015-05-28",2201.92,3.567332e+18,2321.79,1.61872e+18
"2015-05-29",2203.52,3.570562e+18,2323.62,1.620113e+18
"2015-05-30",2203.52,3.570562e+18,2323.62,1.620113e+18
"2015-05-31",2203.52,3.570562e+18,2323.62,1.620113e+18
"2015-06-01",2205.29,3.554867e+18,2325.26,1.621245e+18
"2015-06-02",2207.15,3.55784e+18,2326.28,1.62192e+18
"2015-06-03",2207.63,3.559276e+18,2325.99,1.621854e+18
"2015-06-04",2209.23,3.562277e+18,2327.98,1.623328e+18
"2015-06-05",2210.41,3.564147e+18,2327.92,1.623285e+18
