"Personas","Bebestible","Tazas","Dia"
"YETA","T",7,"Lun"
"CGSN","T",25,"Dom"
"BSCV","T",21,"Mar"
"GVFW","T",22,"Sab"
"OQBM","C",18,"Dom"
"HMXR","T",22,"Dom"
"AERU","T",21,"Mie"
"GVLU","T",21,"Vie"
"GZOC","C",26,"Lun"
"SWUM","C",10,"Vie"
"LIME","T",25,"Dom"
"HHXM","T",18,"Lun"
"GEEX","T",16,"Lun"
"WAHP","C",29,"Lun"
"ZBRI","T",28,"Lun"
"AOHF","T",17,"Mie"
"JCFB","T",4,"Lun"
"WDYM","T",7,"Sab"
"RJRX","C",14,"Lun"
"HAGE","C",29,"Jue"
"BXAD","T",10,"Lun"
"TTQB","T",9,"Lun"
"EGLH","C",19,"Sab"
"CJIF","T",21,"Vie"
"FSEY","C",16,"Sab"
"EHAN","T",22,"Jue"
"CLLS","C",28,"Mar"
"RTHI","C",28,"Lun"
"SEFS","C",21,"Jue"
"XBED","C",23,"Lun"
"BMCR","T",18,"Lun"
"MEEC","C",22,"Lun"
"UKZG","T",25,"Vie"
"RDRS","T",14,"Dom"
"JZCE","T",17,"Sab"
"AVEJ","C",13,"Sab"
"TCXA","T",3,"Vie"
"SMFS","C",10,"Lun"
"JTTN","T",13,"Lun"
"PDQC","C",21,"Jue"
"UGTW","T",29,"Sab"
"TRVE","C",3,"Lun"
"JJDD","C",7,"Lun"
"QQPR","T",19,"Mie"
"NAKU","C",12,"Sab"
"QZLK","T",19,"Jue"
"GGQI","C",7,"Jue"
"YNZE","T",7,"Sab"
"IJFM","T",9,"Mie"
"ULFF","T",29,"Lun"
"AWFC","C",23,"Lun"
"EIJE","T",19,"Lun"
"QOGY","C",10,"Mie"
"QFGU","T",29,"Mar"
"OYMM","T",27,"Vie"
"EGKO","T",4,"Vie"
"HFAW","T",9,"Lun"
"SPTW","T",22,"Dom"
"NHWT","C",12,"Lun"
"RQWY","T",28,"Sab"
"XBWH","T",18,"Mie"
"BJEI","T",29,"Sab"
"AQND","C",9,"Lun"
"CRAE","T",8,"Sab"
"WINQ","C",29,"Lun"
"AIHA","T",18,"Vie"
"NQIU","T",10,"Lun"
"TQOA","C",22,"Lun"
"HVGW","C",26,"Lun"
"ZUIV","T",19,"Sab"
"UTFI","C",18,"Mie"
"ZPCB","T",26,"Vie"
"VLCK","T",26,"Lun"
"SPTX","T",18,"Lun"
"JIFA","T",23,"Lun"
"BFYV","T",29,"Jue"
"CMHF","T",27,"Mar"
"OCNL","C",7,"Mar"
"SXNP","T",26,"Sab"
"VPYH","C",21,"Lun"
"XXHI","C",17,"Mie"
"BOJS","T",6,"Vie"
"HAQG","T",19,"Lun"
"YQDO","T",23,"Lun"
"NAIH","C",7,"Mar"
"TQCI","T",24,"Dom"
"YYGT","T",25,"Lun"
"KWDX","T",22,"Jue"
"DPPH","C",26,"Sab"
"YSXD","T",13,"Lun"
"GCNW","T",20,"Lun"
"WXGM","C",15,"Mar"
"ETJP","C",23,"Lun"
"OGMH","T",12,"Mie"
"UWNZ","C",19,"Mar"
"DPXU","T",14,"Vie"
"DZTR","C",4,"Mar"
"FCRT","C",28,"Mie"
"YNNX","T",20,"Mar"
"ROWH","C",7,"Mar"
"KRJO","C",20,"Mie"
"BQTO","T",22,"Lun"
"UQWP","C",12,"Vie"
"FXOO","C",5,"Lun"
"EUHY","T",3,"Vie"
"GNYW","T",24,"Vie"
"CLUD","T",5,"Lun"
"NCUF","T",8,"Vie"
"GSLW","C",26,"Lun"
"PUTW","T",21,"Jue"
"NPXN","T",7,"Mie"
"RLGN","T",10,"Jue"
"YJQI","C",6,"Dom"
"PSWR","C",27,"Lun"
"MICX","T",14,"Mar"
"TNXS","T",9,"Sab"
"HGUA","T",7,"Mie"
"WIKS","C",7,"Mie"
"AOWP","T",3,"Sab"
"UYDH","C",8,"Mar"
"ZCNR","T",8,"Dom"
"IGMB","C",28,"Lun"
"TTEU","T",5,"Jue"
"CGXO","T",3,"Sab"
"NIMK","C",28,"Dom"
"OXCH","T",17,"Mie"
"NLWB","C",10,"Jue"
"FOEW","C",15,"Mar"
"IHFR","C",9,"Lun"
"XNCK","T",29,"Mie"
"SBFB","T",14,"Lun"
"CZEF","T",24,"Mie"
"EKBB","T",10,"Dom"
"YVYW","T",12,"Sab"
"CGXP","C",20,"Lun"
"YIJS","T",9,"Lun"
"PPBM","C",6,"Lun"
"KCJE","T",27,"Vie"
"QZAE","T",18,"Vie"
"YDWE","C",7,"Lun"
"QCPE","C",25,"Sab"
"WSFB","C",22,"Lun"
"YPNZ","T",15,"Sab"
"KQEX","C",16,"Sab"
"PUPJ","T",16,"Dom"
