"A","M","UF"
2019,"Enero",27558.53
2019,"Febrero",27546.04
2019,"Marzo",27564.62
2019,"Abril",27601.09
2019,"Mayo",27720.11
2019,"Junio",27826.2
2019,"Julio",27946.95
2019,"Agosto",27968.13
2019,"Septiembre",28021.53
2019,"Octubre",28063.18
2019,"Noviembre",28122.86
2019,"Diciembre",28288.6
2020,"Enero",28324.55
2020,"Febrero",28387.75
2020,"Marzo",28539.73
2020,"Abril",28648.24
2020,"Mayo",28713.19
2020,"Junio",28709.15
2020,"Julio",28681.36
2020,"Agosto",28667.73
2020,"Septiembre",28694.02
2020,"Octubre",28760.64
2020,"Noviembre",28933.88
2020,"Diciembre",29075.47
2021,"Enero",29085.91
2021,"Febrero",29194.81
2021,"Marzo",29360.08
2021,"Abril",29439.72
2021,"Mayo",29555.98
2021,"Junio",29665.83
2021,"Julio",29740.92
2021,"Agosto",29827.73
2021,"Septiembre",30025.93
2021,"Octubre",30214.65
2021,"Noviembre",30573.24
2021,"Diciembre",30907.42
2022,"Enero",31096.09
2022,"Febrero",31365.3
2022,"Marzo",31669.7
2022,"Abril",31905.76
2022,"Mayo",32453.99
2022,"Junio",32894.82
2022,"Julio",33268.63
2022,"Agosto",33616.11
2022,"Septiembre",34059.41
2022,"Octubre",34446.46
2022,"Noviembre",34722.91
2022,"Diciembre",34948.74
