placa;ver_placa;año_permiso;Tipo_pago;CodSII;fecha_pago;MONTO_PAGADO;REAJUSTE;MULTA;ELECTRONICO_PAPEL;FECHA_VENCIMIENTO
AH7491;5;2024;TOTAL;HB2430003;28/03/2024;32333;0;0;PAPEL;31/03/2025
AT9523;9;2024;TOTAL;SD1620062;22/02/2024;32333;0;0;ELECTRONICO;31/03/2025
BBGY45;7;2024;TOTAL;CT2350123;02/04/2024;48710;286;720;PAPEL;31/03/2025
BBHF63;5;2024;TOTAL;CT2250013;28/03/2024;47030;0;0;PAPEL;31/03/2025
BBHP20;6;2024;TOTAL;CT1600088;07/03/2024;45050;0;0;PAPEL;31/03/2025
BBJD72;3;2024;TOTAL;SD790119;13/03/2024;32330;0;0;PAPEL;31/03/2025
BBKB79;3;2024;TOTAL;SU2250058;06/05/2024;82024;788;2389;ELECTRONICO;31/03/2025
BBLH58;8;2024;TOTAL;SU2290189;14/06/2024;34290;485;1477;PAPEL;31/03/2025
BBLK19;K;2022;TOTAL;SU2290222;03/01/2024;42178;4491;10465;PAPEL;31/03/2023
BBLK19;K;2023;TOTAL;SU2290222;03/01/2024;36832;1143;4804;PAPEL;31/03/2024
BBLK19;K;2024;TOTAL;SU2290222;01/04/2024;32330;0;0;PAPEL;31/03/2025
BBLY37;8;2024;TOTAL;SU2270239;26/03/2024;37970;0;0;PAPEL;31/03/2025
BBPB73;0;2024;TOTAL;SD2350170;09/04/2024;33015;194;488;ELECTRONICO;31/03/2025
BBPS73;3;2023;TOTAL;;05/03/2024;140950;2660;11638;ELECTRONICO;30/09/2024
BBPZ77;4;2024;TOTAL;SD1760214;02/03/2024;32333;0;0;ELECTRONICO;31/03/2025
BBSW35;6;2024;TOTAL;HB1320012;25/03/2024;32330;0;0;PAPEL;31/03/2025
BBTF32;4;2024;TOTAL;HB500069;27/03/2024;32330;0;0;PAPEL;31/03/2025
BBTK41;9;2024;TOTAL;CT1660046;14/06/2024;55600;786;2394;PAPEL;31/03/2025
BBTK53;2;2024;1a Cuota;HB1840115;18/03/2024;16170;0;0;PAPEL;31/08/2024
BBTL22;9;2024;TOTAL;HB1320019;16/04/2024;33010;194;488;PAPEL;31/03/2025
BBTX78;1;2024;TOTAL;CT1600084;11/03/2024;34373;0;0;PAPEL;31/03/2025
BBWP51;6;2024;TOTAL;CT500246;22/03/2024;35952;0;0;PAPEL;31/03/2025
BBWW37;9;2024;TOTAL;CT1760231;21/03/2024;32330;0;0;PAPEL;31/03/2025
BBXF84;3;2024;TOTAL;HB2290092;04/03/2024;32330;0;0;PAPEL;31/03/2025
BC6549;4;2024;TOTAL;SD320030;27/03/2024;32330;0;0;PAPEL;31/03/2025
BCBK93;K;2024;TOTAL;HB130020;05/04/2024;59765;351;883;PAPEL;31/03/2025
BCBS54;7;2023;TOTAL;HB500069;22/03/2024;37830;1174;5771;ELECTRONICO;31/03/2024
BCBS54;7;2024;1a Cuota;HB500069;22/03/2024;16167;0;0;ELECTRONICO;31/08/2024
BCFW10;0;2023;TOTAL;SU2290190;22/03/2024;38241;1186;5833;PAPEL;31/03/2024
BCFW10;0;2024;1a Cuota;SU2290190;22/03/2024;19861;0;0;PAPEL;31/08/2024
BCFW26;7;2024;TOTAL;SU1110060;26/03/2024;38855;0;0;PAPEL;31/03/2025
BCFW61;5;2022;TOTAL;HB1320021;02/05/2024;44530;4818;12495;PAPEL;31/03/2023
BCFW61;5;2023;TOTAL;HB1320021;02/05/2024;39164;1482;6797;PAPEL;31/03/2024
BCFW61;5;2024;TOTAL;HB1320021;02/05/2024;33636;323;980;PAPEL;31/03/2025
BCGZ96;2;2024;TOTAL;VN500035;28/04/2024;43736;257;646;ELECTRONICO;31/03/2025
BCHR80;7;2024;TOTAL;SD1970113;05/03/2024;32330;0;0;PAPEL;31/03/2025
BCKD27;8;2024;1a Cuota;SD1110147;21/03/2024;16167;0;0;ELECTRONICO;31/08/2024
BCKT79;7;2022;TOTAL;SD500220;24/06/2024;45283;5009;13053;PAPEL;31/03/2023
BCKT79;7;2023;TOTAL;SD500220;24/06/2024;39839;1637;7317;PAPEL;31/03/2024
BCKT79;7;2024;TOTAL;SD500220;24/06/2024;34295;485;1477;PAPEL;31/03/2025
BCRC22;8;2024;TOTAL;SD1760214;07/05/2024;33640;323;980;PAPEL;31/03/2025
BCRC48;1;2024;TOTAL;SD1760214;21/03/2024;32330;0;0;PAPEL;31/03/2025
BCSG39;7;2024;TOTAL;SD1760214;05/04/2024;33010;194;488;PAPEL;31/03/2025
BCTJ11;5;2024;TOTAL;SD1760221;26/03/2024;32330;0;0;PAPEL;31/03/2025
BCXL72;6;2024;1a Cuota;SD2350174;13/03/2024;16167;0;0;PAPEL;31/08/2024
BCZJ77;5;2024;TOTAL;SD1110155;05/03/2024;32330;0;0;PAPEL;31/03/2025
BCZZ48;4;2024;TOTAL;SD2350174;08/04/2024;33015;194;488;PAPEL;31/03/2025
BDBW96;6;2024;TOTAL;HB1320016;26/03/2024;32333;0;0;ELECTRONICO;31/03/2025
BDDG21;9;2024;TOTAL;CT500260;12/04/2024;49000;288;724;PAPEL;31/03/2025
BDFH67;9;2023;TOTAL;CT1660046;15/01/2024;60280;1870;7862;PAPEL;31/03/2024
BDFH67;9;2024;TOTAL;CT1660046;05/04/2024;107042;314;791;PAPEL;31/03/2025
BDFJ82;9;2024;TOTAL;CT1760237;14/03/2024;42580;0;0;PAPEL;31/03/2025
BDFK33;7;2024;TOTAL;CT1760200;28/03/2024;38586;0;0;PAPEL;31/03/2025
BDHP14;0;2023;2a Cuota;CO1840057;01/04/2024;18063;485;1935;PAPEL;31/03/2024
BDHP14;0;2024;1a Cuota;CO1840057;01/04/2024;16167;0;0;PAPEL;31/08/2024
BDJY97;K;2024;TOTAL;SD2350171;18/03/2024;32330;0;0;PAPEL;31/03/2025
BDKH44;1;2024;TOTAL;HB500069;10/04/2024;33010;194;488;PAPEL;31/03/2025
BDKH86;7;2024;TOTAL;CT1760231;25/03/2024;32330;0;0;PAPEL;31/03/2025
BDKJ28;6;2024;1a Cuota;HB500079;27/03/2024;16170;0;0;PAPEL;31/08/2024
BDKJ85;5;2024;1a Cuota;SD1760214;26/03/2024;16167;0;0;PAPEL;31/08/2024
BDKK97;5;2024;TOTAL;HB500058;03/04/2024;33010;194;488;PAPEL;31/03/2025
BDKL18;1;2024;TOTAL;SU1760179;28/03/2024;91565;0;0;ELECTRONICO;31/03/2025
BDLL73;K;2024;TOTAL;CT2350102;27/03/2024;40802;0;0;PAPEL;31/03/2025
BDLS19;7;2024;TOTAL;SD1320076;05/04/2024;33015;194;488;PAPEL;31/03/2025
BDPW31;6;2024;TOTAL;SU1320095;17/05/2024;43599;419;1270;PAPEL;31/03/2025
BDTH40;7;2024;TOTAL;CO500009;18/03/2024;32330;0;0;PAPEL;31/03/2025
BDVS13;6;2024;TOTAL;SD1110129;24/04/2024;33015;194;488;ELECTRONICO;31/03/2025
BDVW79;8;2024;TOTAL;CT2350105;07/03/2024;38161;0;0;PAPEL;31/03/2025
BDXH79;9;2024;TOTAL;SU2290215;19/02/2024;32330;0;0;PAPEL;31/03/2025
BFFC20;1;2024;TOTAL;HB1840090;01/04/2024;32330;0;0;PAPEL;31/03/2025
BFFX51;3;2024;TOTAL;CT1760239;21/02/2024;36830;0;0;PAPEL;31/03/2025
BFGC88;6;2023;2a Cuota;VN1110130;10/01/2024;55499;1161;3872;ELECTRONICO;31/03/2024
BFGC88;6;2024;1a Cuota;VN1110130;30/03/2024;54800;0;0;ELECTRONICO;31/08/2024
BFGW69;5;2024;TOTAL;HB2290077;02/04/2024;33015;194;488;ELECTRONICO;31/03/2025
BFH085;4;2024;TOTAL;MT1730098;26/03/2024;32333;0;0;PAPEL;31/03/2025
BFHF58;2;2024;TOTAL;HB500080;28/03/2024;32330;0;0;PAPEL;31/03/2025
BFJ094;9;2024;TOTAL;;22/03/2024;32330;0;0;PAPEL;31/03/2025
BFPC49;8;2024;1a Cuota;HB500078;21/03/2024;16170;0;0;PAPEL;31/08/2024
BFR050;K;2015;TOTAL;;23/02/2024;24081;0;0;PAPEL;31/03/2016
BFR050;K;2016;TOTAL;;23/02/2024;77893;9643;45772;PAPEL;31/03/2017
BFR050;K;2017;TOTAL;;23/02/2024;72132;9015;40002;PAPEL;31/03/2018
BFR050;K;2018;TOTAL;;23/02/2024;66026;8464;34052;PAPEL;31/03/2019
BFR050;K;2019;TOTAL;;23/02/2024;60659;8003;28479;PAPEL;31/03/2020
BFR050;K;2020;TOTAL;;23/02/2024;52650;6880;20933;PAPEL;31/03/2021
BFR050;K;2021;TOTAL;;23/02/2024;48510;6321;16700;PAPEL;31/03/2022
BFR050;K;2022;TOTAL;;23/02/2024;42397;4301;10875;PAPEL;31/03/2023
BFR050;K;2023;TOTAL;;23/02/2024;37096;957;5254;PAPEL;31/03/2024
BFR050;K;2024;TOTAL;;23/02/2024;32333;0;0;PAPEL;31/03/2025
BFRG59;5;2024;1a Cuota;SU1110065;30/03/2024;16167;0;0;ELECTRONICO;31/08/2024
BFRH10;9;2024;TOTAL;CT1660040;21/03/2024;74886;0;0;ELECTRONICO;31/03/2025
BFRH94;K;2024;1a Cuota;SD1320105;26/03/2024;16167;0;0;ELECTRONICO;31/08/2024
BFRH99;0;2024;TOTAL;SU2270272;06/03/2024;57655;0;0;PAPEL;31/03/2025
BFRJ44;K;2024;TOTAL;SU790047;18/03/2024;32330;0;0;PAPEL;31/03/2025
BFRJ53;9;2024;1a Cuota;SD1760207;27/03/2024;16167;0;0;ELECTRONICO;31/08/2024
BFRJ87;3;2024;TOTAL;CT1660040;31/03/2024;74886;0;0;ELECTRONICO;31/03/2025
BFRK24;1;2024;TOTAL;SD1110038;01/04/2024;32330;0;0;PAPEL;31/03/2025
BFSD41;5;2024;TOTAL;SD1060090;01/04/2024;35690;0;0;ELECTRONICO;31/03/2025
BFTW52;5;2024;TOTAL;CT1760238;18/03/2024;35777;0;0;PAPEL;31/03/2025
BFTZ60;5;2024;1a Cuota;VN500029;30/03/2024;57883;0;0;ELECTRONICO;31/08/2024
BFVC47;9;2024;TOTAL;SU2290186;07/03/2024;32480;0;0;PAPEL;31/03/2025
BFVD95;5;2024;1a Cuota;CT2250016;26/03/2024;27950;0;0;PAPEL;31/08/2024
BFVF17;K;2024;TOTAL;CT1760226;28/03/2024;37371;0;0;PAPEL;31/03/2025
BFWV16;3;2024;TOTAL;SD500189;27/03/2024;32333;0;0;ELECTRONICO;31/03/2025
BFXD41;7;2024;TOTAL;VN1110117;29/05/2024;64793;0;0;PAPEL;31/05/2025
BFZH41;7;2024;TOTAL;HB2350014;28/03/2024;32333;0;0;ELECTRONICO;31/03/2025
BFZV75;5;2024;TOTAL;SD500191;19/03/2024;32333;0;0;ELECTRONICO;31/03/2025
BG9335;6;2024;TOTAL;CT1600006;21/03/2024;32330;0;0;PAPEL;31/03/2025
